"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_098u"	"srv_097e"	89	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_097e"	89	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_097e"	89	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_098f"	53	"∂L*M"	500	6077	0	0	0
"srv_098u"	"srv_098f"	53	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_098f"	53	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_098f"	53	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_098l"	28	"∂L*M"	500	6097.44	84.0054774433249	3.75683916091199	7.38117231665732
"srv_098u"	"srv_098l"	28	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_098l"	28	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_098l"	28	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_098m"	24	"∂L*M"	500	6077	0	0	0
"srv_098u"	"srv_098m"	24	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_098m"	24	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_098m"	24	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_098s"	2	"∂L*M"	500	6085.03	53.5930361805907	2.39675344040813	4.70897192732072
"srv_098u"	"srv_098s"	2	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_098s"	2	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_098s"	2	"DL*M"	500	6076.94	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_098u"	"srv_100"	23	"∂L*M"	500	6077	0	0	0
"srv_098u"	"srv_100"	23	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_100"	23	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_100"	23	"DL*M"	500	6077	0	0	0
"srv_098u"	"srv_100f"	2	"∂L*M"	500	6084.3	51.151176777974	2.28755016809317	4.49441704861148
"srv_098u"	"srv_100f"	2	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_100f"	2	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_100f"	2	"DL*M"	500	6076.952	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_098u"	"srv_100h"	0	"∂L*M"	500	6256.58	182.659389315223	8.16877622474873	16.0494347371653
"srv_098u"	"srv_100h"	0	"Adp"	500	6077	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	6077	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M"	500	6077	0	0	0
"srv_098za"	"null"	0	"L*M"	73	4075	0	0	0
"srv_098za"	"srv_097"	139	"∂L*M"	500	4075.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_098za"	"srv_097"	139	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_097"	139	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_097"	139	"DL*M"	500	4078.088	29.7330180224182	1.32970098948707	2.61250261527065
"srv_098za"	"srv_097c"	130	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_097c"	130	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_097c"	130	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_097c"	130	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_097e"	117	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_097e"	117	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_097e"	117	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_097e"	117	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_098f"	80	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_098f"	80	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098f"	80	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098f"	80	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_098l"	55	"∂L*M"	500	4075.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_098za"	"srv_098l"	55	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098l"	55	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098l"	55	"DL*M"	500	4075.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_098za"	"srv_098m"	52	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_098m"	52	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098m"	52	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098m"	52	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_098s"	29	"∂L*M"	500	4075.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_098za"	"srv_098s"	29	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098s"	29	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098s"	29	"DL*M"	500	4075.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_098za"	"srv_098u"	27	"∂L*M"	500	4075.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_098za"	"srv_098u"	27	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_098u"	27	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_098u"	27	"DL*M"	500	4075	0	0	0
"srv_098za"	"srv_100"	50	"∂L*M"	500	4075	0	0	0
"srv_098za"	"srv_100"	50	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_100"	50	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_100"	50	"DL*M"	500	4076	0	0	0
"srv_098za"	"srv_100f"	29	"∂L*M"	500	4075.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_098za"	"srv_100f"	29	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_100f"	29	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_100f"	29	"DL*M"	500	4075.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_098za"	"srv_100h"	27	"∂L*M"	500	4075.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_098za"	"srv_100h"	27	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_100h"	27	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_100h"	27	"DL*M"	500	4075	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	4076.028	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_098za"	"srv_100m"	0	"Adp"	500	4075	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	4075	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	4075	0	0	0
