"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_098za"	"srv_098s"	29	"DL*M+"	500	544.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_098za"	"srv_098s"	29	"DL*M"	500	517.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_098za"	"srv_098u"	27	"∂L*M"	500	384.496	39.1357790570829	1.750205246481	3.43867968802207
"srv_098za"	"srv_098u"	27	"Adp"	500	448	0	0	0
"srv_098za"	"srv_098u"	27	"DL*M+"	500	595	0	0	0
"srv_098za"	"srv_098u"	27	"DL*M"	500	595	0	0	0
"srv_098za"	"srv_100"	50	"∂L*M"	500	396.368	10.1701248211492	0.454821808794951	0.893601775401623
"srv_098za"	"srv_100"	50	"Adp"	500	448	0	0	0
"srv_098za"	"srv_100"	50	"DL*M+"	500	546	0	0	0
"srv_098za"	"srv_100"	50	"DL*M"	500	518	0	0	0
"srv_098za"	"srv_100f"	29	"∂L*M"	500	394.884	12.1733695356587	0.544409635939158	1.06961761246657
"srv_098za"	"srv_100f"	29	"Adp"	500	448	0	0	0
"srv_098za"	"srv_100f"	29	"DL*M+"	500	545.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_098za"	"srv_100f"	29	"DL*M"	500	517.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_098za"	"srv_100h"	27	"∂L*M"	500	385.672	40.4801395674323	1.81032687622915	3.55680242102234
"srv_098za"	"srv_100h"	27	"Adp"	500	448	0	0	0
"srv_098za"	"srv_100h"	27	"DL*M+"	500	595	0	0	0
"srv_098za"	"srv_100h"	27	"DL*M"	500	595	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	384.566	40.1704989011081	1.79647932465917	3.52959572945958
"srv_098za"	"srv_100m"	0	"Adp"	500	448	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	448	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	448	0	0	0
"srv_098za"	"srv_101"	27	"∂L*M"	500	385.406	40.1414478522056	1.79518012225589	3.52704314831303
"srv_098za"	"srv_101"	27	"Adp"	500	448	0	0	0
"srv_098za"	"srv_101"	27	"DL*M+"	500	693	0	0	0
"srv_098za"	"srv_101"	27	"DL*M"	500	693	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	388.29	39.4271848578062	1.7632373100701	3.4642841663808
"srv_098za"	"srv_101h"	0	"Adp"	500	448	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	448	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	448	0	0	0
"srv_100"	"null"	0	"L*M"	73	497	0	0	0
"srv_100"	"srv_097"	88	"∂L*M"	500	484.722	26.0262838473303	1.1639307976867	2.28680904729081
"srv_100"	"srv_097"	88	"Adp"	500	558	0	0	0
"srv_100"	"srv_097"	88	"DL*M+"	500	1104.92	105.10855920636	4.70059766804964	9.23540239362532
