"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Symbols"	"sd"	"se"	"ci"
"srv_098u"	"srv_100"	1	"DL*M+"	500	38402.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098u"	"srv_100"	1	"DL*M"	500	38213.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098u"	"srv_100f"	0	"∂L*M"	500	38180.026	260.450675623746	11.6477083096089	22.8845948535401
"srv_098u"	"srv_100f"	0	"Adp"	500	38386	0	0	0
"srv_098u"	"srv_100f"	0	"DL*M+"	500	38402.366	29.6916694456364	1.32785182491793	2.60886950729289
"srv_098u"	"srv_100f"	0	"DL*M"	500	38221.878	59.6440604242181	2.66736347125313	5.24064740841797
"srv_098u"	"srv_100h"	0	"∂L*M"	500	39195.362	837.867934885097	37.4705931714089	73.6195757016096
"srv_098u"	"srv_100h"	0	"Adp"	500	38386	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	38542.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098u"	"srv_100h"	0	"DL*M"	500	38542.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"null"	0	"L*M"	73	25585	0	0	0
"srv_098za"	"srv_097"	11	"∂L*M"	500	25290.382	248.142486210898	11.0972693454675	21.8031312427466
"srv_098za"	"srv_097"	11	"Adp"	500	25872	0	0	0
"srv_098za"	"srv_097"	11	"DL*M+"	500	30370.42	793.429033286357	35.4832250750048	69.7149351918932
"srv_098za"	"srv_097"	11	"DL*M"	500	29993.61	672.603154845274	30.079727522297	59.0985247359582
"srv_098za"	"srv_097c"	10	"∂L*M"	500	25509.002	130.651374118753	5.84290707766575	11.4797312642999
"srv_098za"	"srv_097c"	10	"Adp"	500	25872	0	0	0
"srv_098za"	"srv_097c"	10	"DL*M+"	500	28530.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098za"	"srv_097c"	10	"DL*M"	500	28267.45	107.124314408424	4.79074498120594	9.41251746930207
"srv_098za"	"srv_097e"	9	"∂L*M"	500	25506.224	126.569813381069	5.66037413239066	11.1211034218944
"srv_098za"	"srv_097e"	9	"Adp"	500	25872	0	0	0
"srv_098za"	"srv_097e"	9	"DL*M+"	500	28529.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_098za"	"srv_097e"	9	"DL*M"	500	28265.362	104.24087142071	4.66179349061047	9.15916268571749
"srv_098za"	"srv_098f"	6	"∂L*M"	500	25518.044	126.917161944285	5.67590803237543	11.1516233317511
"srv_098za"	"srv_098f"	6	"Adp"	500	25872	0	0	0
"srv_098za"	"srv_098f"	6	"DL*M+"	500	28516.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_098za"	"srv_098f"	6	"DL*M"	500	28258.35	102.871826684719	4.60056794873218	9.03887106411005
"srv_098za"	"srv_098l"	4	"∂L*M"	500	25391.52	61.2817796169959	2.74060450011528	5.3845462104496
"srv_098za"	"srv_098l"	4	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_098l"	4	"DL*M+"	500	26374.978	45.8842483265115	2.05200596709122	4.03163643402623
"srv_098za"	"srv_098l"	4	"DL*M"	500	26273.97	29.5779446483226	1.32276589736751	2.59887703595415
"srv_098za"	"srv_098m"	4	"∂L*M"	500	25403.448	31.731704936804	1.41908498561319	2.78811797954357
"srv_098za"	"srv_098m"	4	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_098m"	4	"DL*M+"	500	26039.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098za"	"srv_098m"	4	"DL*M"	500	25932.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098za"	"srv_098s"	2	"∂L*M"	500	25394.73	42.9408539024055	1.92037336675332	3.77301399533022
"srv_098za"	"srv_098s"	2	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_098s"	2	"DL*M+"	500	26041.974	40.3195319083272	1.80314428335983	3.54269056970849
"srv_098za"	"srv_098s"	2	"DL*M"	500	25937.328	33.2216159681475	1.4857158325434	2.91902956285377
"srv_098za"	"srv_098u"	2	"∂L*M"	500	25448.968	261.510501626458	11.6951051693366	22.9777168568877
"srv_098za"	"srv_098u"	2	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_098u"	2	"DL*M+"	500	26426.624	110.431503013024	4.93864695189187	9.70310481809372
"srv_098za"	"srv_098u"	2	"DL*M"	500	26426.624	110.431503013024	4.93864695189187	9.70310481809372
"srv_098za"	"srv_100"	4	"∂L*M"	500	25402.104	30.5103744634477	1.36446542638485	2.68080532620487
"srv_098za"	"srv_100"	4	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_100"	4	"DL*M+"	500	26042.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098za"	"srv_100"	4	"DL*M"	500	25935.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098za"	"srv_100f"	2	"∂L*M"	500	25396.332	42.7903236678481	1.91364145001053	3.75978760064798
"srv_098za"	"srv_100f"	2	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_100f"	2	"DL*M+"	500	26039.818	37.8179490525475	1.6912700970224	3.32288806771851
"srv_098za"	"srv_100f"	2	"DL*M"	500	25934.958	31.0703551627573	1.38950852457974	2.73000823726975
"srv_098za"	"srv_100h"	2	"∂L*M"	500	25451.336	264.984105667704	11.8504494645995	23.2829263595129
"srv_098za"	"srv_100h"	2	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_100h"	2	"DL*M+"	500	26427.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"srv_100h"	2	"DL*M"	500	26427.604	108.103802190747	4.83454900649403	9.49858052522914
"srv_098za"	"srv_100m"	0	"∂L*M"	500	25441.638	263.820282083234	11.7984016916256	23.1806665702157
"srv_098za"	"srv_100m"	0	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	25697.7	104.671228770205	4.68103965637219	9.19697619325335
"srv_098za"	"srv_100m"	0	"DL*M"	500	25697.7	104.671228770205	4.68103965637219	9.19697619325335
"srv_098za"	"srv_101"	2	"∂L*M"	500	25449.378	263.962686218016	11.8047701981386	23.1931789621385
"srv_098za"	"srv_101"	2	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_101"	2	"DL*M+"	500	27120.464	141.437526320646	6.3252784684476	12.4274605131406
"srv_098za"	"srv_101"	2	"DL*M"	500	27120.464	141.437526320646	6.3252784684476	12.4274605131406
"srv_098za"	"srv_101h"	0	"∂L*M"	500	25470.79	261.313120592878	11.6862780211655	22.9603738994373
"srv_098za"	"srv_101h"	0	"Adp"	500	25585	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	25710.244	104.818960560511	4.68764642288344	9.2099567015974
"srv_098za"	"srv_101h"	0	"DL*M"	500	25710.244	104.818960560511	4.68764642288344	9.2099567015974
"srv_100"	"null"	0	"L*M"	73	31844	0	0	0
"srv_100"	"srv_097"	7	"∂L*M"	500	32407.338	530.241378614674	23.7131153413123	46.5898546629573
"srv_100"	"srv_097"	7	"Adp"	500	32168	0	0	0
"srv_100"	"srv_097"	7	"DL*M+"	500	36367.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100"	"srv_097"	7	"DL*M"	500	36909.028	1115.6771191004	49.8945975849925	98.0293823267381
"srv_100"	"srv_097c"	6	"∂L*M"	500	31991.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_100"	"srv_097c"	6	"Adp"	500	32168	0	0	0
"srv_100"	"srv_097c"	6	"DL*M+"	500	34317.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100"	"srv_097c"	6	"DL*M"	500	34217.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100"	"srv_097e"	5	"∂L*M"	500	31989.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_100"	"srv_097e"	5	"Adp"	500	32168	0	0	0
"srv_100"	"srv_097e"	5	"DL*M+"	500	34316.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100"	"srv_097e"	5	"DL*M"	500	34215.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100"	"srv_098f"	2	"∂L*M"	500	31998.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_100"	"srv_098f"	2	"Adp"	500	32168	0	0	0
"srv_100"	"srv_098f"	2	"DL*M+"	500	34303.4	222.338996261378	9.94330219379025	19.5358980636121
