"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Symbols_Diff"	"sd"	"se"	"ci"
"srv_100f"	"srv_097"	9	"∂L*M"	500	-148.976	234.092935452691	10.4689543344937	20.5686622738878
"srv_100f"	"srv_097"	9	"Adp"	500	324	0	0	0
"srv_100f"	"srv_097"	9	"DL*M+"	500	4523.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_100f"	"srv_097"	9	"DL*M"	500	4479.628	600.965286991135	26.8759846765969	52.8040370058447
"srv_100f"	"srv_097c"	8	"∂L*M"	500	147.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_100f"	"srv_097c"	8	"Adp"	500	324	0	0	0
"srv_100f"	"srv_097c"	8	"DL*M+"	500	2473.4	225.68235431708	10.0928217115037	19.82966345459
"srv_100f"	"srv_097c"	8	"DL*M"	500	2373.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_100f"	"srv_097e"	7	"∂L*M"	500	145.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_100f"	"srv_097e"	7	"Adp"	500	324	0	0	0
"srv_100f"	"srv_097e"	7	"DL*M+"	500	2472.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_100f"	"srv_097e"	7	"DL*M"	500	2371.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_100f"	"srv_098f"	4	"∂L*M"	500	154.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_100f"	"srv_098f"	4	"Adp"	500	324	0	0	0
"srv_100f"	"srv_098f"	4	"DL*M+"	500	2459.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_100f"	"srv_098f"	4	"DL*M"	500	2363.36	126.286051222876	5.64768390288744	11.096170555011
"srv_100f"	"srv_098l"	2	"∂L*M"	500	-52.164	23.798778702603	1.06431373920989	2.09108848465768
"srv_100f"	"srv_098l"	2	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098l"	2	"DL*M+"	500	359.954	27.8451897674692	1.24527474332885	2.44662788807285
