"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_098s"	"srv_100f"	0	"∂L*M"	500	5503.898	7.25015347774803	0.324236720471022	0.637037414346876
"srv_098s"	"srv_100f"	0	"Adp"	500	5522	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M+"	500	5522	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M"	500	5522	0	0	0
"srv_098u"	"null"	0	"L*M"	73	6672	0	0	0
"srv_098u"	"srv_097"	9	"∂L*M"	500	6799.16	168.402354811958	7.53118225861152	14.7967351323791
"srv_098u"	"srv_097"	9	"Adp"	500	6745	0	0	0
"srv_098u"	"srv_097"	9	"DL*M+"	500	7291.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_098u"	"srv_097"	9	"DL*M"	500	7407.566	218.838713231498	9.78676477788422	19.2283444017922
"srv_098u"	"srv_097c"	8	"∂L*M"	500	6653.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098u"	"srv_097c"	8	"Adp"	500	6745	0	0	0
"srv_098u"	"srv_097c"	8	"DL*M+"	500	6993.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098u"	"srv_097c"	8	"DL*M"	500	6925.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098u"	"srv_097e"	7	"∂L*M"	500	6653.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098u"	"srv_097e"	7	"Adp"	500	6745	0	0	0
"srv_098u"	"srv_097e"	7	"DL*M+"	500	6993.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098u"	"srv_097e"	7	"DL*M"	500	6925.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098u"	"srv_098f"	4	"∂L*M"	500	6655.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098u"	"srv_098f"	4	"Adp"	500	6745	0	0	0
"srv_098u"	"srv_098f"	4	"DL*M+"	500	6991.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098u"	"srv_098f"	4	"DL*M"	500	6924.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098u"	"srv_098l"	2	"∂L*M"	500	6633.612	85.7893996843223	3.83661858886087	7.53791730354466
"srv_098u"	"srv_098l"	2	"Adp"	500	6672	0	0	0
"srv_098u"	"srv_098l"	2	"DL*M+"	500	6718.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_098u"	"srv_098l"	2	"DL*M"	500	6677.32	6.65629119141055	0.297678391640541	0.584857485118115
"srv_098u"	"srv_098m"	2	"∂L*M"	500	6612.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098u"	"srv_098m"	2	"Adp"	500	6672	0	0	0
"srv_098u"	"srv_098m"	2	"DL*M+"	500	6672	0	0	0
"srv_098u"	"srv_098m"	2	"DL*M"	500	6630	0	0	0
"srv_098u"	"srv_098s"	0	"∂L*M"	500	6619.854	55.1062435678601	2.46442613204791	4.84193045355264
"srv_098u"	"srv_098s"	0	"Adp"	500	6672	0	0	0
"srv_098u"	"srv_098s"	0	"DL*M+"	500	6672	0	0	0
"srv_098u"	"srv_098s"	0	"DL*M"	500	6631.71	9.73320968342319	0.435282369827869	0.855212065379587
"srv_098u"	"srv_100"	1	"∂L*M"	500	6612.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_098u"	"srv_100"	1	"Adp"	500	6672	0	0	0
"srv_098u"	"srv_100"	1	"DL*M+"	500	6672	0	0	0
"srv_098u"	"srv_100"	1	"DL*M"	500	6630	0	0	0
"srv_098u"	"srv_100f"	0	"∂L*M"	500	6619.398	52.6382100599615	2.35405231815974	4.62507577741115
"srv_098u"	"srv_100f"	0	"Adp"	500	6672	0	0	0
"srv_098u"	"srv_100f"	0	"DL*M+"	500	6672	0	0	0
"srv_098u"	"srv_100f"	0	"DL*M"	500	6631.368	8.73253057139571	0.390530639464718	0.767287025437548
"srv_098u"	"srv_100h"	0	"∂L*M"	500	6801.816	183.968625189482	8.22732703301725	16.1644712310365
"srv_098u"	"srv_100h"	0	"Adp"	500	6672	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	6672	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M"	500	6672	0	0	0
"srv_098za"	"null"	0	"L*M"	73	4523	0	0	0
