"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"EQ_Symbols"	"sd"	"se"	"ci"
"srv_100m"	"srv_098s"	2	"DL*M"	500	23769.89	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_100m"	"srv_098u"	2	"∂L*M"	500	23766.952	2.00142634509233	0.0895065071917082	0.1758560653642
"srv_100m"	"srv_098u"	2	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_098u"	2	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_098u"	2	"DL*M"	500	23765	0	0	0
"srv_100m"	"srv_098za"	0	"∂L*M"	500	23766.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_100m"	"srv_098za"	0	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M"	500	23765	0	0	0
"srv_100m"	"srv_100"	4	"∂L*M"	500	23765	0	0	0
"srv_100m"	"srv_100"	4	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_100"	4	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_100"	4	"DL*M"	500	23770	0	0	0
"srv_100m"	"srv_100f"	2	"∂L*M"	500	23765.08	0.560560841402454	0.0250690429380073	0.0492538854642354
"srv_100m"	"srv_100f"	2	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_100f"	2	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_100f"	2	"DL*M"	500	23769.9	0.700701051753068	0.0313363036725092	0.0615673568302942
"srv_100m"	"srv_100h"	2	"∂L*M"	500	23766.968	2.00174673222162	0.0895208353397121	0.175884216297702
"srv_100m"	"srv_100h"	2	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_100h"	2	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_100h"	2	"DL*M"	500	23765	0	0	0
"srv_100m"	"srv_101"	2	"∂L*M"	500	23766.984	2.00193893988755	0.0895294311278484	0.175901104695292
"srv_100m"	"srv_101"	2	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_101"	2	"DL*M+"	500	23765	0	0	0
"srv_100m"	"srv_101"	2	"DL*M"	500	23765	0	0	0
"srv_100m"	"srv_101h"	0	"∂L*M"	500	23766.808	1.99275642172159	0.0891187764313742	0.175094279343582
"srv_100m"	"srv_101h"	0	"Adp"	500	23765	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M+"	500	23765	0	0	0
