"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_098u"	"srv_098s"	68	"Adp"	500	595	0	0	0
"srv_098u"	"srv_098s"	68	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_098s"	68	"DL*M"	500	554.77	10.0747258126661	0.450555435435865	0.885219506270099
"srv_098u"	"srv_100"	714	"∂L*M"	500	535.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_098u"	"srv_100"	714	"Adp"	500	595	0	0	0
"srv_098u"	"srv_100"	714	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_100"	714	"DL*M"	500	553	0	0	0
"srv_098u"	"srv_100f"	68	"∂L*M"	500	535.098	7.30528098436474	0.326702097515523	0.641881213086073
"srv_098u"	"srv_100f"	68	"Adp"	500	595	0	0	0
"srv_098u"	"srv_100f"	68	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_100f"	68	"DL*M"	500	554.416	9.03893515284819	0.40423346891962	0.794209377207286
"srv_098u"	"srv_100h"	0	"∂L*M"	500	545.236	17.9875347619852	0.80442700950879	1.58048138848625
"srv_098u"	"srv_100h"	0	"Adp"	500	595	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M+"	500	595	0	0	0
"srv_098u"	"srv_100h"	0	"DL*M"	500	595	0	0	0
"srv_098za"	"null"	0	"L*M"	73	448	0	0	0
"srv_098za"	"srv_097"	4175	"∂L*M"	500	383.798	43.4284383153369	1.94217880459499	3.81585577994112
"srv_098za"	"srv_097"	4175	"Adp"	500	503	0	0	0
"srv_098za"	"srv_097"	4175	"DL*M+"	500	1119	98.3623418824562	4.39889765750493	8.64264351564684
"srv_098za"	"srv_097"	4175	"DL*M"	500	1044.582	72.5849324642634	3.24609686264649	6.37770191203448
"srv_098za"	"srv_097c"	3901	"∂L*M"	500	422.012	21.2017661002932	0.948171804866126	1.86290101272632
"srv_098za"	"srv_097c"	3901	"Adp"	500	503	0	0	0
"srv_098za"	"srv_097c"	3901	"DL*M+"	500	861.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098za"	"srv_097c"	3901	"DL*M"	500	809.71	10.5084134628884	0.469950536773848	0.92332563191002
"srv_098za"	"srv_097e"	3510	"∂L*M"	500	421.4	19.9614859628157	0.892704790895274	1.75392334014746
"srv_098za"	"srv_097e"	3510	"Adp"	500	503	0	0	0
"srv_098za"	"srv_097e"	3510	"DL*M+"	500	861.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098za"	"srv_097e"	3510	"DL*M"	500	809.836	10.5051330138784	0.469803830634188	0.923037394045592
"srv_098za"	"srv_098f"	2429	"∂L*M"	500	423.984	20.6186809473355	0.922095444092439	1.81166802030426
"srv_098za"	"srv_098f"	2429	"Adp"	500	503	0	0	0
"srv_098za"	"srv_098f"	2429	"DL*M+"	500	859.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098za"	"srv_098f"	2429	"DL*M"	500	809.29	10.5084134628884	0.469950536773848	0.92332563191002
"srv_098za"	"srv_098l"	1673	"∂L*M"	500	394.072	16.2954564158111	0.728754965402774	1.43180629935505
"srv_098za"	"srv_098l"	1673	"Adp"	500	448	0	0	0
"srv_098za"	"srv_098l"	1673	"DL*M+"	500	592.256	11.2774476567751	0.504342791464898	0.990897105523859
"srv_098za"	"srv_098l"	1673	"DL*M"	500	565.824	4.83319185290362	0.216146910627813	0.424670188081654
"srv_098za"	"srv_098m"	1561	"∂L*M"	500	396.816	10.5772349789347	0.47302832853773	0.929372659847858
"srv_098za"	"srv_098m"	1561	"Adp"	500	448	0	0	0
"srv_098za"	"srv_098m"	1561	"DL*M+"	500	546	0	0	0
"srv_098za"	"srv_098m"	1561	"DL*M"	500	518	0	0	0
"srv_098za"	"srv_098s"	883	"∂L*M"	500	394.394	12.0248058575523	0.537765666274491	1.05656400999357
"srv_098za"	"srv_098s"	883	"Adp"	500	448	0	0	0
"srv_098za"	"srv_098s"	883	"DL*M+"	500	544.922	7.19468156944917	0.321755941315064	0.632163354626617
"srv_098za"	"srv_098s"	883	"DL*M"	500	517.538	3.08343495833536	0.137895403420742	0.270927151982836
"srv_098za"	"srv_098u"	815	"∂L*M"	500	384.496	39.1357790570829	1.750205246481	3.43867968802207
"srv_098za"	"srv_098u"	815	"Adp"	500	448	0	0	0
"srv_098za"	"srv_098u"	815	"DL*M+"	500	595	0	0	0
"srv_098za"	"srv_098u"	815	"DL*M"	500	595	0	0	0
"srv_098za"	"srv_100"	1529	"∂L*M"	500	396.368	10.1701248211492	0.454821808794951	0.893601775401623
"srv_098za"	"srv_100"	1529	"Adp"	500	448	0	0	0
"srv_098za"	"srv_100"	1529	"DL*M+"	500	546	0	0	0
"srv_098za"	"srv_100"	1529	"DL*M"	500	518	0	0	0
"srv_098za"	"srv_100f"	883	"∂L*M"	500	394.884	12.1733695356587	0.544409635939158	1.06961761246657
"srv_098za"	"srv_100f"	883	"Adp"	500	448	0	0	0
"srv_098za"	"srv_100f"	883	"DL*M+"	500	545.02	6.86687030718007	0.30709577599059	0.603360096936883
"srv_098za"	"srv_100f"	883	"DL*M"	500	517.58	2.94294441736289	0.131612475424538	0.258582898687236
"srv_098za"	"srv_100h"	815	"∂L*M"	500	385.672	40.4801395674323	1.81032687622915	3.55680242102234
"srv_098za"	"srv_100h"	815	"Adp"	500	448	0	0	0
"srv_098za"	"srv_100h"	815	"DL*M+"	500	595	0	0	0
"srv_098za"	"srv_100h"	815	"DL*M"	500	595	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	384.566	40.1704989011081	1.79647932465917	3.52959572945958
"srv_098za"	"srv_100m"	0	"Adp"	500	448	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	448	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	448	0	0	0
"srv_098za"	"srv_101"	813	"∂L*M"	500	385.406	40.1414478522056	1.79518012225589	3.52704314831303
"srv_098za"	"srv_101"	813	"Adp"	500	448	0	0	0
"srv_098za"	"srv_101"	813	"DL*M+"	500	693	0	0	0
"srv_098za"	"srv_101"	813	"DL*M"	500	693	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	388.29	39.4271848578062	1.7632373100701	3.4642841663808
"srv_098za"	"srv_101h"	0	"Adp"	500	448	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	448	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	448	0	0	0
"srv_100"	"null"	0	"L*M"	73	497	0	0	0
"srv_100"	"srv_097"	2646	"∂L*M"	500	484.722	26.0262838473303	1.1639307976867	2.28680904729081
"srv_100"	"srv_097"	2646	"Adp"	500	558	0	0	0
"srv_100"	"srv_097"	2646	"DL*M+"	500	1104.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100"	"srv_097"	2646	"DL*M"	500	1102.488	71.9784666084977	3.21897488505599	6.32441456552072
"srv_100"	"srv_097c"	2372	"∂L*M"	500	520.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100"	"srv_097c"	2372	"Adp"	500	558	0	0	0
"srv_100"	"srv_097c"	2372	"DL*M+"	500	806.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100"	"srv_097c"	2372	"DL*M"	500	792.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100"	"srv_097e"	1981	"∂L*M"	500	520.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100"	"srv_097e"	1981	"Adp"	500	558	0	0	0
"srv_100"	"srv_097e"	1981	"DL*M+"	500	806.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100"	"srv_097e"	1981	"DL*M"	500	792.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100"	"srv_098f"	900	"∂L*M"	500	522.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_100"	"srv_098f"	900	"Adp"	500	558	0	0	0
"srv_100"	"srv_098f"	900	"DL*M+"	500	804.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100"	"srv_098f"	900	"DL*M"	500	791.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100"	"srv_098l"	144	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100"	"srv_098l"	144	"Adp"	500	497	0	0	0
"srv_100"	"srv_098l"	144	"DL*M+"	500	546	0	0	0
"srv_100"	"srv_098l"	144	"DL*M"	500	546	0	0	0
"srv_100"	"srv_098m"	32	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100"	"srv_098m"	32	"Adp"	500	497	0	0	0
"srv_100"	"srv_098m"	32	"DL*M+"	500	497	0	0	0
"srv_100"	"srv_098m"	32	"DL*M"	500	497	0	0	0
"srv_100f"	"null"	0	"L*M"	73	497	0	0	0
"srv_100f"	"srv_097"	3292	"∂L*M"	500	465.916	43.0790500487907	1.92655368630423	3.7851566507976
"srv_100f"	"srv_097"	3292	"Adp"	500	558	0	0	0
"srv_100f"	"srv_097"	3292	"DL*M+"	500	1104.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100f"	"srv_097"	3292	"DL*M"	500	1097.208	71.98308039899	3.21918122003949	6.32481995792718
"srv_100f"	"srv_097c"	3018	"∂L*M"	500	520.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100f"	"srv_097c"	3018	"Adp"	500	558	0	0	0
"srv_100f"	"srv_097c"	3018	"DL*M+"	500	806.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100f"	"srv_097c"	3018	"DL*M"	500	792.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100f"	"srv_097e"	2627	"∂L*M"	500	520.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100f"	"srv_097e"	2627	"Adp"	500	558	0	0	0
"srv_100f"	"srv_097e"	2627	"DL*M+"	500	806.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100f"	"srv_097e"	2627	"DL*M"	500	792.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100f"	"srv_098f"	1546	"∂L*M"	500	522.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_100f"	"srv_098f"	1546	"Adp"	500	558	0	0	0
"srv_100f"	"srv_098f"	1546	"DL*M+"	500	804.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100f"	"srv_098f"	1546	"DL*M"	500	791.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100f"	"srv_098l"	790	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100f"	"srv_098l"	790	"Adp"	500	497	0	0	0
"srv_100f"	"srv_098l"	790	"DL*M+"	500	546	0	0	0
"srv_100f"	"srv_098l"	790	"DL*M"	500	546	0	0	0
"srv_100f"	"srv_098m"	678	"∂L*M"	500	479.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100f"	"srv_098m"	678	"Adp"	500	497	0	0	0
"srv_100f"	"srv_098m"	678	"DL*M+"	500	497	0	0	0
"srv_100f"	"srv_098m"	678	"DL*M"	500	497	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	478.604	6.92814422228128	0.309836028778867	0.608743952128747
"srv_100f"	"srv_098s"	0	"Adp"	500	497	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	497	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	497	0	0	0
"srv_100f"	"srv_100"	646	"∂L*M"	500	479.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_100f"	"srv_100"	646	"Adp"	500	497	0	0	0
"srv_100f"	"srv_100"	646	"DL*M+"	500	497	0	0	0
"srv_100f"	"srv_100"	646	"DL*M"	500	497	0	0	0
"srv_100h"	"null"	0	"L*M"	73	595	0	0	0
"srv_100h"	"srv_097"	3360	"∂L*M"	500	544.77	23.2611104317278	1.04026848314946	2.04384606336192
"srv_100h"	"srv_097"	3360	"Adp"	500	668	0	0	0
"srv_100h"	"srv_097"	3360	"DL*M+"	500	1214.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100h"	"srv_097"	3360	"DL*M"	500	1170.32	75.0442327813903	3.35608011637014	6.59378924314179
"srv_100h"	"srv_097c"	3086	"∂L*M"	500	576.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100h"	"srv_097c"	3086	"Adp"	500	668	0	0	0
"srv_100h"	"srv_097c"	3086	"DL*M+"	500	916.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100h"	"srv_097c"	3086	"DL*M"	500	848.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100h"	"srv_097e"	2695	"∂L*M"	500	576.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100h"	"srv_097e"	2695	"Adp"	500	668	0	0	0
"srv_100h"	"srv_097e"	2695	"DL*M+"	500	916.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100h"	"srv_097e"	2695	"DL*M"	500	848.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100h"	"srv_098f"	1614	"∂L*M"	500	578.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_100h"	"srv_098f"	1614	"Adp"	500	668	0	0	0
"srv_100h"	"srv_098f"	1614	"DL*M+"	500	914.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100h"	"srv_098f"	1614	"DL*M"	500	847.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100h"	"srv_098l"	858	"∂L*M"	500	536.172	8.01091539907033	0.358259027886422	0.703882041675131
"srv_100h"	"srv_098l"	858	"Adp"	500	595	0	0	0
"srv_100h"	"srv_098l"	858	"DL*M+"	500	641.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_100h"	"srv_098l"	858	"DL*M"	500	600.32	6.65629119141055	0.297678391640541	0.584857485118115
"srv_100h"	"srv_098m"	746	"∂L*M"	500	535.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100h"	"srv_098m"	746	"Adp"	500	595	0	0	0
"srv_100h"	"srv_098m"	746	"DL*M+"	500	595	0	0	0
"srv_100h"	"srv_098m"	746	"DL*M"	500	553	0	0	0
"srv_100h"	"srv_098s"	68	"∂L*M"	500	534.824	7.00050270167452	0.313071998352303	0.615101756658019
"srv_100h"	"srv_098s"	68	"Adp"	500	595	0	0	0
"srv_100h"	"srv_098s"	68	"DL*M+"	500	595	0	0	0
"srv_100h"	"srv_098s"	68	"DL*M"	500	554.77	10.0747258126661	0.450555435435865	0.885219506270099
"srv_100h"	"srv_098u"	0	"∂L*M"	500	544.356	16.7853734400831	0.750664720794905	1.47485303972332
"srv_100h"	"srv_098u"	0	"Adp"	500	595	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	595	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	595	0	0	0
"srv_100h"	"srv_100"	714	"∂L*M"	500	535.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_100h"	"srv_100"	714	"Adp"	500	595	0	0	0
"srv_100h"	"srv_100"	714	"DL*M+"	500	595	0	0	0
"srv_100h"	"srv_100"	714	"DL*M"	500	553	0	0	0
"srv_100h"	"srv_100f"	68	"∂L*M"	500	535.098	7.30528098436474	0.326702097515523	0.641881213086073
"srv_100h"	"srv_100f"	68	"Adp"	500	595	0	0	0
"srv_100h"	"srv_100f"	68	"DL*M+"	500	595	0	0	0
"srv_100h"	"srv_100f"	68	"DL*M"	500	554.416	9.03893515284819	0.40423346891962	0.794209377207286
"srv_100m"	"null"	0	"L*M"	73	448	0	0	0
"srv_100m"	"srv_097"	4175	"∂L*M"	500	383.798	43.4284383153369	1.94217880459499	3.81585577994112
"srv_100m"	"srv_097"	4175	"Adp"	500	503	0	0	0
"srv_100m"	"srv_097"	4175	"DL*M+"	500	1119	98.3623418824562	4.39889765750493	8.64264351564684
"srv_100m"	"srv_097"	4175	"DL*M"	500	1044.582	72.5849324642634	3.24609686264649	6.37770191203448
"srv_100m"	"srv_097c"	3901	"∂L*M"	500	422.012	21.2017661002932	0.948171804866126	1.86290101272632
