"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"EQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_100h"	"srv_098s"	68	"DL*M"	500	-0.06	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_100h"	"srv_098u"	0	"∂L*M"	500	178.12	182.630153989676	8.16746878124338	16.0468659644833
"srv_100h"	"srv_098u"	0	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_100"	714	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_100"	714	"Adp"	500	0	0	0	0
"srv_100h"	"srv_100"	714	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_100"	714	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_100f"	68	"∂L*M"	500	7.3	51.151176777974	2.28755016809317	4.49441704861148
"srv_100h"	"srv_100f"	68	"Adp"	500	0	0	0	0
"srv_100h"	"srv_100f"	68	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_100f"	68	"DL*M"	500	-0.048	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_100m"	"null"	0	"L*M"	73	0	0	0	0
"srv_100m"	"srv_097"	4175	"∂L*M"	500	0.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_100m"	"srv_097"	4175	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097"	4175	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097"	4175	"DL*M"	500	3.088	29.7330180224182	1.32970098948707	2.61250261527065
"srv_100m"	"srv_097c"	3901	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_097c"	3901	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097c"	3901	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097c"	3901	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_097e"	3510	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_097e"	3510	"Adp"	500	0	0	0	0
"srv_100m"	"srv_097e"	3510	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_097e"	3510	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_098f"	2429	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_098f"	2429	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098f"	2429	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098f"	2429	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_098l"	1673	"∂L*M"	500	0.112	0.460303985990821	0.0205854200597917	0.0404447798173004
"srv_100m"	"srv_098l"	1673	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098l"	1673	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098l"	1673	"DL*M"	500	0.944	0.230151992995411	0.0102927100298959	0.0202223899086502
"srv_100m"	"srv_098m"	1561	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_098m"	1561	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098m"	1561	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098m"	1561	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_098s"	883	"∂L*M"	500	0.044	0.293660472222415	0.0131328955638802	0.0258025859031272
"srv_100m"	"srv_098s"	883	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098s"	883	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098s"	883	"DL*M"	500	0.978	0.146830236111208	0.00656644778194009	0.0129012929515636
"srv_100m"	"srv_098u"	815	"∂L*M"	500	0.976	1.00071317254617	0.0447532535958541	0.0879280326821
"srv_100m"	"srv_098u"	815	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098u"	815	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098u"	815	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"∂L*M"	500	0.972	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_100m"	"srv_098za"	0	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_100"	1529	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_100"	1529	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100"	1529	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100"	1529	"DL*M"	500	1	0	0	0
"srv_100m"	"srv_100f"	883	"∂L*M"	500	0.04	0.280280420701227	0.0125345214690037	0.0246269427321177
"srv_100m"	"srv_100f"	883	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100f"	883	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100f"	883	"DL*M"	500	0.98	0.140140210350614	0.00626726073450183	0.0123134713660588
"srv_100m"	"srv_100h"	815	"∂L*M"	500	0.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_100m"	"srv_100h"	815	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100h"	815	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100h"	815	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_101"	813	"∂L*M"	500	0.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_100m"	"srv_101"	813	"Adp"	500	0	0	0	0
"srv_100m"	"srv_101"	813	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_101"	813	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_101h"	0	"∂L*M"	500	0.904	0.996378210860794	0.0445593882156871	0.0875471396717909
"srv_100m"	"srv_101h"	0	"Adp"	500	0	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M"	500	0	0	0	0
"srv_101"	"null"	0	"L*M"	73	0	0	0	0
"srv_101"	"srv_097"	3362	"∂L*M"	500	215.298	221.634900804248	9.91181408769444	19.4740324560991
"srv_101"	"srv_097"	3362	"Adp"	500	0	0	0	0
