"Control"	"Treatment"	"Delta"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"Adp"	96	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	96	"MQ_Symbols_Diff"	0	0.086	"large"
"∂L*M"	"Adp"	92	"TQ_Symbols_Diff"	0	0.078	"large"
"∂L*M"	"Adp"	92	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	92	"MQ_Symbols_Diff"	0	0.078	"large"
"∂L*M"	"Adp"	557	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	557	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	557	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	596	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	596	"EQ_Symbols_Diff"	2.31451408073935e-211	0.743	"large"
"∂L*M"	"Adp"	596	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	501	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	501	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	501	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	347	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	347	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	347	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	239	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	239	"EQ_Symbols_Diff"	1.47761780997154e-20	0.528	"negligible"
"∂L*M"	"Adp"	239	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	223	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	223	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	223	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	126	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	126	"EQ_Symbols_Diff"	1.48064241032896e-15	0.5105	"negligible"
"∂L*M"	"Adp"	126	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	116	"TQ_Symbols_Diff"	0.154907423131017	0.508	"negligible"
"∂L*M"	"Adp"	116	"EQ_Symbols_Diff"	0	0.746	"large"
"∂L*M"	"Adp"	116	"MQ_Symbols_Diff"	0.154907423131017	0.508	"negligible"
"∂L*M"	"Adp"	218	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	218	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	218	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	440	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	440	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	440	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	9	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	9	"EQ_Symbols_Diff"	7.31058712394364e-11	0.5105	"negligible"
"∂L*M"	"Adp"	9	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	590	"TQ_Symbols_Diff"	5.77167083582525e-170	0.064	"large"
"∂L*M"	"Adp"	590	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	590	"MQ_Symbols_Diff"	5.77167083582525e-170	0.064	"large"
"∂L*M"	"Adp"	629	"TQ_Symbols_Diff"	3.34769625523633e-171	0.037	"large"
"∂L*M"	"Adp"	629	"EQ_Symbols_Diff"	1.03107028649817e-71	0.257	"large"
"∂L*M"	"Adp"	629	"MQ_Symbols_Diff"	3.34769625523633e-171	0.037	"large"
"∂L*M"	"Adp"	534	"TQ_Symbols_Diff"	4.17117206780968e-174	0.058	"large"
"∂L*M"	"Adp"	534	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	534	"MQ_Symbols_Diff"	4.17117206780968e-174	0.058	"large"
"∂L*M"	"Adp"	380	"TQ_Symbols_Diff"	2.0564443063407e-157	0.083	"large"
"∂L*M"	"Adp"	380	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	380	"MQ_Symbols_Diff"	2.0564443063407e-157	0.083	"large"
"∂L*M"	"Adp"	272	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	272	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	272	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	256	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	256	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	256	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	159	"TQ_Symbols_Diff"	0	0.0655	"large"
"∂L*M"	"Adp"	159	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	159	"MQ_Symbols_Diff"	0	0.0655	"large"
"∂L*M"	"Adp"	149	"TQ_Symbols_Diff"	0	0.0296666666666667	"large"
"∂L*M"	"Adp"	149	"EQ_Symbols_Diff"	4.64246761935789e-224	0.246	"large"
"∂L*M"	"Adp"	149	"MQ_Symbols_Diff"	0	0.0296666666666667	"large"
"∂L*M"	"Adp"	33	"TQ_Symbols_Diff"	0	0.0343333333333333	"large"
"∂L*M"	"Adp"	33	"EQ_Symbols_Diff"	9.04151868856556e-229	0.242	"large"
"∂L*M"	"Adp"	33	"MQ_Symbols_Diff"	0	0.0343333333333333	"large"
"∂L*M"	"Adp"	251	"TQ_Symbols_Diff"	1.22995095866558e-160	0.078	"large"
"∂L*M"	"Adp"	251	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	251	"MQ_Symbols_Diff"	1.22995095866558e-160	0.078	"large"
"∂L*M"	"Adp"	2	"TQ_Symbols_Diff"	1.04710396922772e-174	0.031	"large"
"∂L*M"	"Adp"	2	"EQ_Symbols_Diff"	6.41633026497442e-78	0.241	"large"
"∂L*M"	"Adp"	2	"MQ_Symbols_Diff"	1.04710396922772e-174	0.031	"large"
"∂L*M"	"Adp"	636	"TQ_Symbols_Diff"	5.77167083582525e-170	0.064	"large"
"∂L*M"	"Adp"	636	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	636	"MQ_Symbols_Diff"	5.77167083582525e-170	0.064	"large"
"∂L*M"	"Adp"	675	"TQ_Symbols_Diff"	3.34769625523633e-171	0.037	"large"
"∂L*M"	"Adp"	675	"EQ_Symbols_Diff"	1.03107028649817e-71	0.257	"large"
"∂L*M"	"Adp"	675	"MQ_Symbols_Diff"	3.34769625523633e-171	0.037	"large"
"∂L*M"	"Adp"	580	"TQ_Symbols_Diff"	4.17117206780968e-174	0.058	"large"
"∂L*M"	"Adp"	580	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	580	"MQ_Symbols_Diff"	4.17117206780968e-174	0.058	"large"
"∂L*M"	"Adp"	426	"TQ_Symbols_Diff"	2.0564443063407e-157	0.083	"large"
"∂L*M"	"Adp"	426	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	426	"MQ_Symbols_Diff"	2.0564443063407e-157	0.083	"large"
"∂L*M"	"Adp"	302	"TQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	302	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	302	"MQ_Symbols_Diff"	1.66224908427262e-155	0.086	"large"
"∂L*M"	"Adp"	205	"TQ_Symbols_Diff"	0	0.0655	"large"
"∂L*M"	"Adp"	205	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	205	"MQ_Symbols_Diff"	0	0.0655	"large"
"∂L*M"	"Adp"	195	"TQ_Symbols_Diff"	0	0.0296666666666667	"large"
"∂L*M"	"Adp"	195	"EQ_Symbols_Diff"	4.64246761935789e-224	0.246	"large"
"∂L*M"	"Adp"	195	"MQ_Symbols_Diff"	0	0.0296666666666667	"large"
"∂L*M"	"Adp"	79	"TQ_Symbols_Diff"	0	0.0343333333333333	"large"
"∂L*M"	"Adp"	79	"EQ_Symbols_Diff"	9.04151868856556e-229	0.242	"large"
"∂L*M"	"Adp"	79	"MQ_Symbols_Diff"	0	0.0343333333333333	"large"
"∂L*M"	"Adp"	297	"TQ_Symbols_Diff"	1.22995095866558e-160	0.078	"large"
"∂L*M"	"Adp"	297	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	297	"MQ_Symbols_Diff"	1.22995095866558e-160	0.078	"large"
"∂L*M"	"Adp"	48	"TQ_Symbols_Diff"	1.04710396922772e-174	0.031	"large"
"∂L*M"	"Adp"	48	"EQ_Symbols_Diff"	6.41633026497442e-78	0.241	"large"
"∂L*M"	"Adp"	48	"MQ_Symbols_Diff"	1.04710396922772e-174	0.031	"large"
"∂L*M"	"Adp"	46	"TQ_Symbols_Diff"	5.77167083582525e-170	0.064	"large"
"∂L*M"	"Adp"	46	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	46	"MQ_Symbols_Diff"	5.77167083582525e-170	0.064	"large"
"∂L*M"	"Adp"	588	"TQ_Symbols_Diff"	8.94448472225878e-208	0	"large"
"∂L*M"	"Adp"	588	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	588	"MQ_Symbols_Diff"	8.94448472225878e-208	0	"large"
"∂L*M"	"Adp"	627	"TQ_Symbols_Diff"	1.91713479685184e-192	0	"large"
"∂L*M"	"Adp"	627	"EQ_Symbols_Diff"	1.03107028649817e-71	0.743	"large"
"∂L*M"	"Adp"	627	"MQ_Symbols_Diff"	1.91713479685184e-192	0	"large"
"∂L*M"	"Adp"	532	"TQ_Symbols_Diff"	1.15904619721295e-208	0	"large"
"∂L*M"	"Adp"	532	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	532	"MQ_Symbols_Diff"	1.15904619721295e-208	0	"large"
"∂L*M"	"Adp"	270	"TQ_Symbols_Diff"	1.73789671536358e-201	0	"large"
"∂L*M"	"Adp"	270	"EQ_Symbols_Diff"	8.13497097736607e-08	0.528	"negligible"
"∂L*M"	"Adp"	270	"MQ_Symbols_Diff"	1.73789671536358e-201	0	"large"
"∂L*M"	"Adp"	254	"TQ_Symbols_Diff"	8.09979653768824e-205	0	"large"
"∂L*M"	"Adp"	254	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"Adp"	254	"MQ_Symbols_Diff"	8.09979653768824e-205	0	"large"
"∂L*M"	"Adp"	157	"TQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	157	"EQ_Symbols_Diff"	4.11566596696329e-06	0.5105	"negligible"
"∂L*M"	"Adp"	157	"MQ_Symbols_Diff"	0	0	"large"
"∂L*M"	"Adp"	147	"TQ_Symbols_Diff"	0.411579663223659	0.508	"negligible"
"∂L*M"	"Adp"	147	"EQ_Symbols_Diff"	8.67193434582107e-215	0.746	"large"
"∂L*M"	"Adp"	147	"MQ_Symbols_Diff"	0.411579663223659	0.508	"negligible"
"∂L*M"	"Adp"	31	"TQ_Symbols_Diff"	0.100735232201478	0.516	"negligible"
"∂L*M"	"Adp"	31	"EQ_Symbols_Diff"	3.16635904318963e-210	0.742	"large"
"∂L*M"	"Adp"	31	"MQ_Symbols_Diff"	0.100735232201478	0.516	"negligible"
"∂L*M"	"Adp"	39	"TQ_Symbols_Diff"	1.74684615305308e-189	0	"large"
"∂L*M"	"Adp"	39	"EQ_Symbols_Diff"	1.03107028649817e-71	0.257	"large"
"∂L*M"	"Adp"	39	"MQ_Symbols_Diff"	1.74684615305308e-189	0	"large"
"∂L*M"	"DL*M"	55	"TQ_Symbols_Diff"	3.18454919112593e-170	0	"large"
"∂L*M"	"DL*M"	55	"EQ_Symbols_Diff"	NA	0.5	"negligible"
"∂L*M"	"DL*M"	55	"MQ_Symbols_Diff"	3.18454919112593e-170	0	"large"
"∂L*M"	"DL*M"	95	"TQ_Symbols_Diff"	6.30206080244039e-166	0	"large"
"∂L*M"	"DL*M"	95	"EQ_Symbols_Diff"	4.87067376850198e-26	0.68558	"medium"
"∂L*M"	"DL*M"	95	"MQ_Symbols_Diff"	6.30206080244039e-166	0	"large"
"∂L*M"	"DL*M"	338	"TQ_Symbols_Diff"	3.18454919112593e-170	0	"large"
"∂L*M"	"DL*M"	338	"EQ_Symbols_Diff"	NA	0.5	"negligible"
