"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"EQ_Symbols_Diff"	"sd"	"se"	"ci"
"srv_098za"	"srv_100h"	116	"∂L*M"	500	1.968	2.00174673222162	0.0895208353397121	0.175884216297702
"srv_098za"	"srv_100h"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100h"	116	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100h"	116	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	2.056	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_098za"	"srv_100m"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_101"	116	"∂L*M"	500	1.984	2.00193893988755	0.0895294311278484	0.175901104695292
"srv_098za"	"srv_101"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101"	116	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_101"	116	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	1.808	1.99275642172159	0.0891187764313742	0.175094279343582
"srv_098za"	"srv_101h"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	0	0	0	0
"srv_100"	"null"	0	"L*M"	73	0	0	0	0
"srv_100"	"srv_097"	378	"∂L*M"	500	616.734	634.886431423456	28.3929843731021	55.7845308956879
"srv_100"	"srv_097"	378	"Adp"	500	0	0	0	0
"srv_100"	"srv_097"	378	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_097"	378	"DL*M"	500	555.82	572.044755245608	25.5826191780282	50.2629237975173
"srv_100"	"srv_097c"	338	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_097c"	338	"Adp"	500	0	0	0	0
"srv_100"	"srv_097c"	338	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_097c"	338	"DL*M"	500	0	0	0	0
"srv_100"	"srv_097e"	283	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_097e"	283	"Adp"	500	0	0	0	0
"srv_100"	"srv_097e"	283	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_097e"	283	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098f"	128	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098f"	128	"Adp"	500	0	0	0	0
"srv_100"	"srv_098f"	128	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098f"	128	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"Adp"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098l"	20	"DL*M"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"Adp"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_098m"	4	"DL*M"	500	0	0	0	0
"srv_100f"	"null"	0	"L*M"	73	0	0	0	0
"srv_100f"	"srv_097"	470	"∂L*M"	500	-35.964	37.0225342201228	1.65569806431013	3.25299864955154
"srv_100f"	"srv_097"	470	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097"	470	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097"	470	"DL*M"	500	504.804	564.130612784452	25.2286879674929	49.5675447457908
"srv_100f"	"srv_097c"	431	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_097c"	431	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097c"	431	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097c"	431	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_097e"	375	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_097e"	375	"Adp"	500	0	0	0	0
"srv_100f"	"srv_097e"	375	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_097e"	375	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098f"	220	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098f"	220	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098f"	220	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098f"	220	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098l"	112	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098m"	96	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"Adp"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"∂L*M"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"Adp"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"DL*M+"	500	0	0	0	0
"srv_100f"	"srv_100"	92	"DL*M"	500	0	0	0	0
"srv_100h"	"null"	0	"L*M"	73	0	0	0	0
"srv_100h"	"srv_097"	480	"∂L*M"	500	831.546	856.021027711217	38.2824241626302	75.2146039105769
"srv_100h"	"srv_097"	480	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097"	480	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097"	480	"DL*M"	500	780.226	800.278320150813	35.7895344955311	70.3167503131378
"srv_100h"	"srv_097c"	440	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_097c"	440	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097c"	440	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097c"	440	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_097e"	385	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_097e"	385	"Adp"	500	0	0	0	0
"srv_100h"	"srv_097e"	385	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_097e"	385	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098f"	230	"∂L*M"	500	0	0	0	0
"srv_100h"	"srv_098f"	230	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098f"	230	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098f"	230	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_098l"	122	"∂L*M"	500	95.816	393.790060015148	17.6108268611518	34.6005091337005
