"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"EQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_098za"	"srv_100h"	116	"∂L*M"	500	0.984	1.00087336611081	0.044760417669856	0.0879421081488508
"srv_098za"	"srv_100h"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100h"	116	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100h"	116	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"∂L*M"	500	1.028	1.00060903297629	0.0447485963327063	0.0879188824203119
"srv_098za"	"srv_100m"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_100m"	0	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_101"	116	"∂L*M"	500	0.992	1.00096946994377	0.0447647155639242	0.0879505523476459
"srv_098za"	"srv_101"	116	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101"	116	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_101"	116	"DL*M"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"∂L*M"	500	0.904	0.996378210860794	0.0445593882156871	0.0875471396717909
"srv_098za"	"srv_101h"	0	"Adp"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M+"	500	0	0	0	0
"srv_098za"	"srv_101h"	0	"DL*M"	500	0	0	0	0
"srv_100"	"null"	0	"L*M"	73	0	0	0	0
"srv_100"	"srv_097"	378	"∂L*M"	500	138.996	143.08709171561	6.399049275577	12.5724001861046
"srv_100"	"srv_097"	378	"Adp"	500	0	0	0	0
"srv_100"	"srv_097"	378	"DL*M+"	500	0	0	0	0
"srv_100"	"srv_097"	378	"DL*M"	500	119.284	121.76533553469	5.44551135117277	10.6989562006062
"srv_100"	"srv_097c"	338	"∂L*M"	500	0	0	0	0
"srv_100"	"srv_097c"	338	"Adp"	500	0	0	0	0
"srv_100"	"srv_097c"	338	"DL*M+"	500	0	0	0	0
