"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"MQ_Resets_Diff"	"sd"	"se"	"ci"
"srv_100h"	"srv_097"	480	"DL*M+"	500	619.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100h"	"srv_097"	480	"DL*M"	500	575.32	75.0442327813903	3.35608011637014	6.59378924314179
"srv_100h"	"srv_097c"	440	"∂L*M"	500	-18.314	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100h"	"srv_097c"	440	"Adp"	500	73	0	0	0
"srv_100h"	"srv_097c"	440	"DL*M+"	500	321.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100h"	"srv_097c"	440	"DL*M"	500	253.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100h"	"srv_097e"	385	"∂L*M"	500	-18.8	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100h"	"srv_097e"	385	"Adp"	500	73	0	0	0
"srv_100h"	"srv_097e"	385	"DL*M+"	500	321.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_100h"	"srv_097e"	385	"DL*M"	500	253.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_100h"	"srv_098f"	230	"∂L*M"	500	-16.748	16.3736583993547	0.732252264426348	1.43867754553574
"srv_100h"	"srv_098f"	230	"Adp"	500	73	0	0	0
"srv_100h"	"srv_098f"	230	"DL*M+"	500	319.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100h"	"srv_098f"	230	"DL*M"	500	252.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100h"	"srv_098l"	122	"∂L*M"	500	-58.828	8.01091539907033	0.358259027886422	0.703882041675131
"srv_100h"	"srv_098l"	122	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098l"	122	"DL*M+"	500	46.06	11.6485095849685	0.520937185370947	1.0235005989567
"srv_100h"	"srv_098l"	122	"DL*M"	500	5.32	6.65629119141055	0.297678391640541	0.584857485118115
"srv_100h"	"srv_098m"	106	"∂L*M"	500	-59.388	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100h"	"srv_098m"	106	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098m"	106	"DL*M"	500	-42	0	0	0
"srv_100h"	"srv_098s"	9	"∂L*M"	500	-60.176	7.00050270167452	0.313071998352303	0.615101756658019
"srv_100h"	"srv_098s"	9	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098s"	9	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098s"	9	"DL*M"	500	-40.23	10.0747258126661	0.450555435435865	0.885219506270099
"srv_100h"	"srv_098u"	0	"∂L*M"	500	-50.644	16.7853734400831	0.750664720794905	1.47485303972332
"srv_100h"	"srv_098u"	0	"Adp"	500	0	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_098u"	0	"DL*M"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"∂L*M"	500	-59.724	7.62759361586192	0.341116356596213	0.670201331551217
"srv_100h"	"srv_100"	102	"Adp"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_100"	102	"DL*M"	500	-42	0	0	0
"srv_100h"	"srv_100f"	9	"∂L*M"	500	-59.902	7.30528098436474	0.326702097515523	0.641881213086073
"srv_100h"	"srv_100f"	9	"Adp"	500	0	0	0	0
"srv_100h"	"srv_100f"	9	"DL*M+"	500	0	0	0	0
"srv_100h"	"srv_100f"	9	"DL*M"	500	-40.584	9.03893515284819	0.40423346891962	0.794209377207286
"srv_100m"	"null"	0	"L*M"	73	0	0	0	0
"srv_100m"	"srv_097"	596	"∂L*M"	500	-64.202	43.4284383153369	1.94217880459499	3.81585577994112
"srv_100m"	"srv_097"	596	"Adp"	500	55	0	0	0
"srv_100m"	"srv_097"	596	"DL*M+"	500	671	98.3623418824562	4.39889765750493	8.64264351564684
"srv_100m"	"srv_097"	596	"DL*M"	500	596.582	72.5849324642634	3.24609686264649	6.37770191203448
"srv_100m"	"srv_097c"	557	"∂L*M"	500	-25.988	21.2017661002932	0.948171804866126	1.86290101272632
"srv_100m"	"srv_097c"	557	"Adp"	500	55	0	0	0
