"SUL"	"Reuse"	"DeltaD"	"Method"	"N"	"MQ_Symbols"	"sd"	"se"	"ci"
"srv_098s"	"srv_098l"	790	"∂L*M"	500	2012.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_098s"	"srv_098l"	790	"Adp"	500	2065	0	0	0
"srv_098s"	"srv_098l"	790	"DL*M+"	500	2424.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_098s"	"srv_098l"	790	"DL*M"	500	2424.954	27.8451897674692	1.24527474332885	2.44662788807285
"srv_098s"	"srv_098m"	678	"∂L*M"	500	2012.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_098s"	"srv_098m"	678	"Adp"	500	2065	0	0	0
"srv_098s"	"srv_098m"	678	"DL*M+"	500	2078.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098s"	"srv_098m"	678	"DL*M"	500	2078.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098s"	"srv_100"	646	"∂L*M"	500	2011.828	22.8827808475858	1.02334906978864	2.01060399465365
"srv_098s"	"srv_100"	646	"Adp"	500	2065	0	0	0
"srv_098s"	"srv_100"	646	"DL*M+"	500	2081.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098s"	"srv_100"	646	"DL*M"	500	2081.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098s"	"srv_100f"	0	"∂L*M"	500	2010.694	21.7504604332441	0.972710161413066	1.91111224304063
"srv_098s"	"srv_100f"	0	"Adp"	500	2065	0	0	0
"srv_098s"	"srv_100f"	0	"DL*M+"	500	2082.738	30.3532534663417	1.35743876178042	2.66699983173593
"srv_098s"	"srv_100f"	0	"DL*M"	500	2082.738	30.3532534663417	1.35743876178042	2.66699983173593
"srv_098u"	"null"	0	"L*M"	73	2506	0	0	0
"srv_098u"	"srv_097"	3360	"∂L*M"	500	2289.038	129.248376553376	5.78016311909679	11.3564563647925
"srv_098u"	"srv_097"	3360	"Adp"	500	2898	0	0	0
"srv_098u"	"srv_097"	3360	"DL*M+"	500	7097.228	827.488132382857	37.0063942916483	72.7075505192804
"srv_098u"	"srv_097"	3360	"DL*M"	500	6905.522	613.305078860033	27.427836945538	53.8882773781166
"srv_098u"	"srv_097c"	3086	"∂L*M"	500	2464.304	104.616005473361	4.67856999545853	9.19212397787051
"srv_098u"	"srv_097c"	3086	"Adp"	500	2898	0	0	0
"srv_098u"	"srv_097c"	3086	"DL*M+"	500	5047.4	225.68235431708	10.0928217115037	19.82966345459
"srv_098u"	"srv_097c"	3086	"DL*M"	500	4690.44	130.238821790597	5.8244571766651	11.4434822015431
"srv_098u"	"srv_097e"	2695	"∂L*M"	500	2462.072	101.320513762111	4.53119112574564	8.90256438093506
"srv_098u"	"srv_097e"	2695	"Adp"	500	2898	0	0	0
"srv_098u"	"srv_097e"	2695	"DL*M+"	500	5046.782	223.694167642508	10.0039073003776	19.6549706977683
"srv_098u"	"srv_097e"	2695	"DL*M"	500	4688.646	127.66125283323	5.7091847885578	11.2170031526593
"srv_098u"	"srv_098f"	1614	"∂L*M"	500	2471.568	101.612950747033	4.54426930529409	8.92825946467451
"srv_098u"	"srv_098f"	1614	"Adp"	500	2898	0	0	0
"srv_098u"	"srv_098f"	1614	"DL*M+"	500	5033.4	222.338996261378	9.94330219379025	19.5358980636121
"srv_098u"	"srv_098f"	1614	"DL*M"	500	4680.36	126.286051222876	5.64768390288744	11.096170555011
"srv_098u"	"srv_098l"	858	"∂L*M"	500	2273.348	39.681332036922	1.77460311744595	3.48661490218444
"srv_098u"	"srv_098l"	858	"Adp"	500	2506	0	0	0
"srv_098u"	"srv_098l"	858	"DL*M+"	500	2853.998	46.5215919012457	2.08050883825378	4.08763686272686
"srv_098u"	"srv_098l"	858	"DL*M"	500	2670.122	31.8946649976234	1.42637278108538	2.80243652550329
"srv_098u"	"srv_098m"	746	"∂L*M"	500	2264.836	23.798778702603	1.06431373920989	2.09108848465768
"srv_098u"	"srv_098m"	746	"Adp"	500	2506	0	0	0
"srv_098u"	"srv_098m"	746	"DL*M+"	500	2519.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098u"	"srv_098m"	746	"DL*M"	500	2330.328	27.3100731634389	1.22134360127884	2.39960966992729
"srv_098u"	"srv_098s"	68	"∂L*M"	500	2265.336	29.4390288024871	1.31655339187871	2.58667114382863
"srv_098u"	"srv_098s"	68	"Adp"	500	2506	0	0	0
"srv_098u"	"srv_098s"	68	"DL*M+"	500	2524.424	31.4306218835067	1.40562014213227	2.76166320581156
"srv_098u"	"srv_098s"	68	"DL*M"	500	2346.358	66.7986673513764	2.98732722008147	5.86928958979161
"srv_098u"	"srv_100"	714	"∂L*M"	500	2263.828	22.8827808475858	1.02334906978864	2.01060399465365
"srv_098u"	"srv_100"	714	"Adp"	500	2506	0	0	0
"srv_098u"	"srv_100"	714	"DL*M+"	500	2522.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098u"	"srv_100"	714	"DL*M"	500	2333.072	30.4110585307701	1.36002388285054	2.67207889508164
"srv_098u"	"srv_100f"	68	"∂L*M"	500	2265.806	29.3803126181305	1.31392752428669	2.58151202459375
"srv_098u"	"srv_100f"	68	"Adp"	500	2506	0	0	0
