Inferred	Reused	N	MQ_Reset	sd	se	ci	MQ_Reset_Percent
server_101k	server_098l	999	892,644644644645	0,681011308020765	0,0215462442735259	0,0422811398592275	3,07645029271884
server_101k	server_098m	999	843,602602602603	0,672411710375223	0,0212741650446752	0,0417472268588091	2,90742961298818
server_101k	server_098s	1000	843,591	0,660420438171893	0,0208843279794959	0,0409821826820742	2,90738962526139
server_101k	server_098u	1000	764	0	0	0	2,63308365511213
server_101k	server_098za	1000	553	0	0	0	1,90588384983902
server_101k	server_100	1000	843,598	0,668463045233499	0,0211386575459002	0,0414812641350214	2,90741375037341
server_101k	server_101	1000	862	0	0	0	2,97083522343804
server_102	N/A	10991	263,547174961332	33,8353225602397	0,322739199252003	0,632626880073474	1
server_102	server_097	1000	1328	0	0	0	5,03894606419077
server_102	server_097c	1000	1040	0	0	0	3,94616258039036
server_102	server_097e	1000	1139	0	0	0	4,32180690294675
server_102	server_098l	1000	794	0	0	0	3,01274335464418
server_102	server_098m	1000	745	0	0	0	2,82681838691425
server_102	server_098s	1000	745	0	0	0	2,82681838691425
server_102	server_098u	1000	793	0	0	0	3,00894896754765
server_102	server_098za	1000	582	0	0	0	2,20833329017999
server_102	server_100	1000	745	0	0	0	2,82681838691425
server_102	server_101	1000	891	0	0	0	3,38079890300751
server_102	server_101k	1000	597	0	0	0	2,26524909662793
server_110-pre1	N/A	12000	216,378083333333	28,2370456532193	0,25776778102619	0,505266534410888	1
server_110-pre1	server_097	1000	1370	0	0	0	6,33151000736751
server_110-pre1	server_097c	1000	1061	0	0	0	4,90345410059629
server_110-pre1	server_097e	1000	1160	0	0	0	5,36098657558125
server_110-pre1	server_098l	1000	794	0	0	0	3,66950288018234
server_110-pre1	server_098m	1000	738	0	0	0	3,410696631706
server_110-pre1	server_098s	1000	738	0	0	0	3,410696631706
server_110-pre1	server_098u	1000	765	0	0	0	3,5354782157928
server_110-pre1	server_098za	1000	554	0	0	0	2,56033324385518
server_110-pre1	server_100	1000	738	0	0	0	3,410696631706
server_110-pre1	server_101	1000	863	0	0	0	3,98838915062639
server_110-pre1	server_101k	1000	569	0	0	0	2,62965634612563
server_110-pre1	server_102	1000	520	0	0	0	2,40320087870883
