Methods	Control	Treatment	Metric	Wilcox	VD	VD.magnitude
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_102	server_101k	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_110pre1	server_097	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_097	MQ_Reset	0	0,042	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_097	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	server_110pre1	server_102	MQ_Reset	0	0	large
L*M vs Dynamic L*M (v2)	server_110pre1	server_102	MQ_Reset	0,0047	0,464	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_110pre1	server_102	MQ_Reset	0	1	large
L*M vs Dynamic L*M (v1)	client_098m	client_098j	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_098m	client_098j	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098j	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098m	client_098l	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_098m	client_098l	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098m	client_098l	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101	client_098j	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_101	client_098j	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098j	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101	client_098m	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_101	client_098m	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101	client_098m	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098za	client_098j	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_098za	client_098j	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098za	client_098j	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_098za	client_101	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_098za	client_101	EQ_Reset	0	0,441	negligible
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_098za	client_101	EQ_Reset	0	0	large
L*M vs Dynamic L*M (v1)	client_100m	client_098j	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_100m	client_098j	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_100m	client_098j	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_100m	client_098za	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_100m	client_098za	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_100m	client_098za	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101h	client_098j	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_101h	client_098j	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101h	client_098j	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_101h	client_100m	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_101h	client_100m	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_101h	client_100m	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_102	client_098j	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_102	client_098j	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_102	client_098j	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_102	client_101h	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_102	client_101h	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_102	client_101h	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_110-pre1	client_098j	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_110-pre1	client_098j	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_110-pre1	client_098j	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	client_110-pre1	client_102	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	client_110-pre1	client_102	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	client_110-pre1	client_102	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_097e	server_097	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_097e	server_097	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_097e	server_097	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_097e	server_097c	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_097e	server_097c	EQ_Reset	0	1	large
Dynamic L*M (v1) vs Dynamic L*M (v2)	server_097e	server_097c	EQ_Reset	NA	0,5	negligible
L*M vs Dynamic L*M (v1)	server_098l	server_097	EQ_Reset	0	1	large
L*M vs Dynamic L*M (v2)	server_098l	server_097	EQ_Reset	0	1	large
