"SUL"	"Reuse"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_097c"	"srv_101"	"DL*M+"	500	9884.786	139.337626477218	6.23136809253066	12.2429520374579
"srv_097c"	"srv_101"	"DL*M"	500	9884.786	139.337626477218	6.23136809253066	12.2429520374579
"srv_097c"	"srv_101"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_101h"	"∂L*M"	500	9728.218	15.6527471386326	0.700012132731958	1.37533441122645
"srv_097c"	"srv_101h"	"DL*M+"	500	9749.202	167.398415928319	7.48628474683011	14.7085236714
"srv_097c"	"srv_101h"	"DL*M"	500	9803.264	164.956818008881	7.37709316839841	14.4939917680068
"srv_097c"	"srv_101h"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_101k"	"∂L*M"	500	9719.396	7.47334501890172	0.334218149631474	0.656648221582477
"srv_097c"	"srv_101k"	"DL*M+"	500	9734.664	165.150854413251	7.38577074020401	14.5110408483757
"srv_097c"	"srv_101k"	"DL*M"	500	9758.488	158.590692891303	7.09239139807491	13.934629832186
"srv_097c"	"srv_101k"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_102"	"∂L*M"	500	9721.744	10.4556733983242	0.467591929383784	0.91869160664896
"srv_097c"	"srv_102"	"DL*M+"	500	9587.004	123.810411597895	5.53696993310241	10.8786475645814
"srv_097c"	"srv_102"	"DL*M"	500	9576.194	125.019454854772	5.59103999130472	10.9848805971039
"srv_097c"	"srv_102"	"Adp"	500	9808	0	0	0
"srv_097c"	"srv_110pre1"	"∂L*M"	500	9761.166	19.0365760170495	0.851341560659299	1.67265578599665
"srv_097c"	"srv_110pre1"	"DL*M+"	500	9588.972	125.006032784282	5.59043973806443	10.9837012619207
"srv_097c"	"srv_110pre1"	"DL*M"	500	9157.32	26.5602049874988	1.18780847696753	2.33372222556242
"srv_097c"	"srv_110pre1"	"Adp"	500	9808	0	0	0
"srv_097e"	"null"	"L*M"	73	9820	0	0	0
"srv_097e"	"srv_097"	"∂L*M"	500	9742.016	10.5621428566104	0.472353388308895	0.928046584943106
"srv_097e"	"srv_097"	"DL*M+"	500	10267.922	147.846423852903	6.61189307930674	12.990580662982
"srv_097e"	"srv_097"	"DL*M"	500	10228.536	110.721484809394	4.95161533207029	9.72858417578376
"srv_097e"	"srv_097"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_097c"	"∂L*M"	500	9745.652	8.73013898247368	0.39042368435664	0.767076887593191
"srv_097e"	"srv_097c"	"DL*M+"	500	9818	0	0	0
"srv_097e"	"srv_097c"	"DL*M"	500	9843.89	19.515625002507	0.872765282580004	1.71474760211861
"srv_097e"	"srv_097c"	"Adp"	500	9820	0	0	0
"srv_097e"	"srv_098f"	"∂L*M"	500	9746.464	8.49004509596168	0.379686359332181	0.745980949537048
"srv_097e"	"srv_098f"	"DL*M+"	500	9818	0	0	0
"srv_097e"	"srv_098f"	"DL*M"	500	9843.11	19.515625002507	0.872765282580004	1.71474760211861
"srv_097e"	"srv_098f"	"Adp"	500	9820	0	0	0
