"SUL"	"Reuse"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_098f"	"null"	"L*M"	73	8875	0	0	0
"srv_098f"	"srv_097"	"∂L*M"	500	8865.794	10.5063948462511	0.469860261493416	0.923148265413275
"srv_098f"	"srv_097"	"DL*M+"	500	8874.326	2.41731479572754	0.108105604125256	0.21239825775537
"srv_098f"	"srv_097"	"DL*M"	500	8842.944	34.5592469115603	1.54553650690897	3.0365609999685
"srv_098f"	"srv_097"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_097c"	"∂L*M"	500	8876	0	0	0
"srv_098f"	"srv_097c"	"DL*M+"	500	8870	0	0	0
"srv_098f"	"srv_097c"	"DL*M"	500	8876	0	0	0
"srv_098f"	"srv_097c"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_097e"	"∂L*M"	500	8876	0	0	0
"srv_098f"	"srv_097e"	"DL*M+"	500	8870	0	0	0
"srv_098f"	"srv_097e"	"DL*M"	500	8876	0	0	0
"srv_098f"	"srv_097e"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_098l"	"∂L*M"	500	8876	0	0	0
"srv_098f"	"srv_098l"	"DL*M+"	500	8875.74	0.439073537283089	0.0196359655297255	0.0385793585966729
"srv_098f"	"srv_098l"	"DL*M"	500	8875.972	0.235216184193633	0.0105191875453015	0.0206673569395655
"srv_098f"	"srv_098l"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_098m"	"∂L*M"	500	8876	0	0	0
"srv_098f"	"srv_098m"	"DL*M+"	500	8876	0	0	0
"srv_098f"	"srv_098m"	"DL*M"	500	8876	0	0	0
"srv_098f"	"srv_098m"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_098s"	"∂L*M"	500	8876	0	0	0
"srv_098f"	"srv_098s"	"DL*M+"	500	8876	0	0	0
"srv_098f"	"srv_098s"	"DL*M"	500	8875.94	0.341516129242919	0.0152730656079954	0.0300074408905118
"srv_098f"	"srv_098s"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_098u"	"∂L*M"	500	8865.248	10.5074883117348	0.469909162756468	0.92324434316205
"srv_098f"	"srv_098u"	"DL*M+"	500	8834.796	38.1424708187647	1.7057831516112	3.35140229262213
"srv_098f"	"srv_098u"	"DL*M"	500	8834.68	38.1980074814263	1.7082668266703	3.3562820420084
"srv_098f"	"srv_098u"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_098za"	"∂L*M"	500	8862.404	8.66365406763262	0.387450388575382	0.761235165983653
"srv_098f"	"srv_098za"	"DL*M+"	500	8865.186	10.5267768124968	0.470771770734228	0.924939134408855
"srv_098f"	"srv_098za"	"DL*M"	500	8829.858	30.0161251920211	1.34236192701006	2.63737793133954
"srv_098f"	"srv_098za"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_100"	"∂L*M"	500	8876	0	0	0
"srv_098f"	"srv_100"	"DL*M+"	500	8876	0	0	0
"srv_098f"	"srv_100"	"DL*M"	500	8876	0	0	0
"srv_098f"	"srv_100"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_100f"	"∂L*M"	500	8876	0	0	0
"srv_098f"	"srv_100f"	"DL*M+"	500	8876	0	0	0
"srv_098f"	"srv_100f"	"DL*M"	500	8875.952	0.306404581452481	0.0137028294549024	0.0269223517697385
"srv_098f"	"srv_100f"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_100h"	"∂L*M"	500	8865.332	10.5091703441635	0.469984385533488	0.923392135562933
"srv_098f"	"srv_100h"	"DL*M+"	500	8836.436	36.9116627326836	1.65073974065652	3.24325688533927
"srv_098f"	"srv_100h"	"DL*M"	500	8836.314	36.9688083332308	1.6532953696053	3.24827800464738
"srv_098f"	"srv_100h"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_100m"	"∂L*M"	500	8862.808	8.54876006197357	0.382312172438164	0.751139961721615
"srv_098f"	"srv_100m"	"DL*M+"	500	8865.774	10.5238979878045	0.470643025780082	0.924686185413503
"srv_098f"	"srv_100m"	"DL*M"	500	8831.98	29.3457654167648	1.31238252647297	2.57847652198013
"srv_098f"	"srv_100m"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_101"	"∂L*M"	500	8865.416	10.5101794344096	0.470029513421204	0.923480799650282
"srv_098f"	"srv_101"	"DL*M+"	500	8836.826	37.5096477101916	1.67748244184116	3.29579905635112
"srv_098f"	"srv_101"	"DL*M"	500	8836.826	37.5096477101916	1.67748244184116	3.29579905635112
"srv_098f"	"srv_101"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_101h"	"∂L*M"	500	8861.742	8.50953938360015	0.380558170378832	0.747693822323792
"srv_098f"	"srv_101h"	"DL*M+"	500	8864.19	11.0474427802984	0.494056660685731	0.970687642062488
"srv_098f"	"srv_101h"	"DL*M"	500	8827.522	29.874579444638	1.33603180874857	2.62494096194276
"srv_098f"	"srv_101h"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_101k"	"∂L*M"	500	8862.22	8.50177395139634	0.380210889693184	0.747011509753777
"srv_098f"	"srv_101k"	"DL*M+"	500	8864.948	10.8314327709562	0.484396399391539	0.951707842773167
"srv_098f"	"srv_101k"	"DL*M"	500	8829.746	29.5601944206796	1.32197208305499	2.59731740564336
"srv_098f"	"srv_101k"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_102"	"∂L*M"	500	8871.08	0.628003803774396	0.0280851839073598	0.0551797862740842
"srv_098f"	"srv_102"	"DL*M+"	500	8876	0	0	0
"srv_098f"	"srv_102"	"DL*M"	500	8859.102	1.18929594706255	0.0531869316599369	0.104497927848732
"srv_098f"	"srv_102"	"Adp"	500	8875	0	0	0
"srv_098f"	"srv_110pre1"	"∂L*M"	500	8871.11	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_098f"	"srv_110pre1"	"DL*M+"	500	8876	0	0	0
"srv_098f"	"srv_110pre1"	"DL*M"	500	8332.264	1.76196283333449	0.078797373383281	0.154815515418763
"srv_098f"	"srv_110pre1"	"Adp"	500	8875	0	0	0
"srv_098l"	"null"	"L*M"	73	5518	0	0	0
"srv_098l"	"srv_097"	"∂L*M"	500	5507.308	11.0066993627392	0.492234559659769	0.967107706623431
