"Control"	"Treatment"	"DeltaQ"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"DL*M+"	4	"EQ_Resets_Diff"	5.97671350970474e-116	0.555649534971645	"negligible"
"∂L*M"	"DL*M+"	4	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	7	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	7	"EQ_Resets_Diff"	6.44199636153421e-15	0.4685	"negligible"
"∂L*M"	"DL*M+"	7	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	1	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	1	"EQ_Resets_Diff"	2.46374590260268e-18	0.515886880907372	"negligible"
"∂L*M"	"DL*M+"	1	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	2	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	2	"EQ_Resets_Diff"	3.83132578246839e-46	0.464318063100137	"negligible"
"∂L*M"	"DL*M+"	2	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	-1	"TQ_Resets_Diff"	0	0.144408801512287	"large"
"∂L*M"	"DL*M+"	-1	"EQ_Resets_Diff"	2.38349883416478e-17	0.472382669187146	"negligible"
"∂L*M"	"DL*M+"	-1	"MQ_Resets_Diff"	0	0.144408801512287	"large"
"∂L*M"	"DL*M+"	-9	"TQ_Resets_Diff"	2.29312461837598e-170	0	"large"
"∂L*M"	"DL*M+"	-9	"EQ_Resets_Diff"	3.6959997976121e-116	0.910064	"large"
"∂L*M"	"DL*M+"	-9	"MQ_Resets_Diff"	2.29312461837598e-170	0	"large"
"∂L*M"	"DL*M+"	-10	"TQ_Resets_Diff"	6.10575682822184e-191	0	"large"
"∂L*M"	"DL*M+"	-10	"EQ_Resets_Diff"	1.40653093757855e-79	0.811264	"large"
"∂L*M"	"DL*M+"	-10	"MQ_Resets_Diff"	6.10575682822184e-191	0	"large"
"∂L*M"	"DL*M+"	-11	"TQ_Resets_Diff"	1.37530302437639e-198	0	"large"
"∂L*M"	"DL*M+"	-11	"EQ_Resets_Diff"	2.50851788821442e-44	0.732706	"medium"
"∂L*M"	"DL*M+"	-11	"MQ_Resets_Diff"	1.37530302437639e-198	0	"large"
"∂L*M"	"DL*M+"	6	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	6	"EQ_Resets_Diff"	1.5492456852672e-19	0.547189795918367	"negligible"
"∂L*M"	"DL*M+"	6	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	5	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	5	"EQ_Resets_Diff"	2.54585127145176e-132	0.562004844290657	"negligible"
"∂L*M"	"DL*M+"	5	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	8	"TQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	8	"EQ_Resets_Diff"	0	0.742613142857143	"large"
"∂L*M"	"DL*M+"	8	"MQ_Resets_Diff"	0	0	"large"
"∂L*M"	"DL*M+"	10	"TQ_Resets_Diff"	1.1713491589037e-173	0	"large"
"∂L*M"	"DL*M+"	10	"EQ_Resets_Diff"	1.03107028649817e-71	0.257	"large"
"∂L*M"	"DL*M+"	10	"MQ_Resets_Diff"	1.1713491589037e-173	0	"large"
"∂L*M"	"DL*M+"	11	"TQ_Resets_Diff"	1.93260960574826e-173	0	"large"
"∂L*M"	"DL*M+"	11	"EQ_Resets_Diff"	2.21078584754581e-72	0.808306	"large"
