"SUL"	"Reuse"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_097e"	"srv_098za"	"DL*M+"	500	1051.424	112.655611478502	5.03811210625472	9.89852693024954
"srv_097e"	"srv_098za"	"DL*M"	500	1018.212	64.7346290666812	2.89502062182666	5.68793210321829
"srv_097e"	"srv_098za"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_100"	"∂L*M"	500	877.184	5.08506241057461	0.227410904397476	0.446800887700811
"srv_097e"	"srv_100"	"DL*M+"	500	889	0	0	0
"srv_097e"	"srv_100"	"DL*M"	500	889	0	0	0
"srv_097e"	"srv_100"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_100f"	"∂L*M"	500	876.932	4.83343565183202	0.216157813647348	0.424691609564584
"srv_097e"	"srv_100f"	"DL*M+"	500	890.128	7.20050766413331	0.322016492190206	0.632675266588855
"srv_097e"	"srv_100f"	"DL*M"	500	890.968	12.5625878395517	0.561816007650998	1.10381642255928
"srv_097e"	"srv_100f"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_100h"	"∂L*M"	500	880.372	15.1765038311554	0.678713884544989	1.33348911703696
"srv_097e"	"srv_100h"	"DL*M+"	500	1121.228	85.3967753165712	3.81905989334258	7.50341921839248
"srv_097e"	"srv_100h"	"DL*M"	500	1121.21	85.3166558388633	3.81547684137306	7.49637949087851
"srv_097e"	"srv_100h"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_100m"	"∂L*M"	500	880.246	8.98526315184011	0.40183318406477	0.789493467006219
"srv_097e"	"srv_100m"	"DL*M+"	500	1045.39	112.946605843394	5.0511257698741	9.92409525764695
"srv_097e"	"srv_100m"	"DL*M"	500	1014.25	65.4873781227098	2.92868458301223	5.75407267717666
"srv_097e"	"srv_100m"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_101"	"∂L*M"	500	881.188	14.0564513177151	0.628623613376549	1.23507528906979
"srv_097e"	"srv_101"	"DL*M+"	500	1211.054	92.9244046198193	4.15570570997223	8.1648371486778
"srv_097e"	"srv_101"	"DL*M"	500	1211.054	92.9244046198193	4.15570570997223	8.1648371486778
"srv_097e"	"srv_101"	"Adp"	500	945	0	0	0
"srv_097e"	"srv_101h"	"∂L*M"	500	878.838	8.32360022113524	0.372242718239813	0.73135620910691
"srv_097e"	"srv_101h"	"DL*M+"	500	1059.242	112.51967290025	5.03203274821998	9.88658263684034
"srv_097e"	"srv_101h"	"DL*M"	500	1022.156	65.2363643258951	2.91745890475287	5.73201725716672
"srv_097e"	"srv_101h"	"Adp"	500	945	0	0	0
