"SUL"	"Seed"	"Cache"	"CloS"	"CExH"	"EqO"	"Method"	"Reuse"	"Reuse_Resets"	"Reuse_Symbols"	"Rounds"	"MQ_Resets"	"MQ_Symbols"	"EQ_Resets"	"EQ_Symbols"	"L_ms"	"SCEx"	"Q_Size"	"I_Size"	"Correct"	"Info"	"ReusedPref"	"ReusedSuf"	"TQ_Resets"	"TQ_Symbols"
"ActiveMQ"	"1548860762873"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"VerneMQ"	"null"	"null"	4	2279	13183	3372	22465	51	111	18	9	"OK"	"null"	"null"	"null"	5651	35648
"ActiveMQ"	"1548860762926"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"VerneMQ"	"null"	"null"	5	1469	13122	322	1804	124	54	18	9	"OK"	"null"	"null"	"null"	1791	14926
"ActiveMQ"	"1548860762956"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"VerneMQ"	"2020"	"21875"	2	2236	24538	296	1691	68	28	18	9	"OK"	"null"	"17/17"	"6/14"	2532	26229
"emqtt"	"1548860763883"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"ActiveMQ"	"null"	"null"	1	1848	10464	0	0	25	3	18	9	"OK"	"null"	"null"	"null"	1848	10464
"emqtt"	"1548860764889"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"ActiveMQ"	"1848"	"21174"	1	1848	21174	0	0	44	2	18	9	"OK"	"null"	"18/18"	"5/15"	1848	21174
"emqtt"	"1548860765886"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"ActiveMQ"	"1848"	"21174"	1	1848	21174	0	0	38	2	18	9	"OK"	"null"	"18/18"	"5/15"	1848	21174
"emqtt"	"1548860766912"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"ActiveMQ"	"null"	"null"	1	899	10597	0	0	155	2	18	9	"OK"	"null"	"null"	"null"	899	10597
"emqtt"	"1548860767901"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"hbmqtt"	"null"	"null"	4	2179	12072	1783	10796	44	70	18	9	"OK"	"null"	"null"	"null"	3962	22868
"emqtt"	"1548860769235"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"hbmqtt"	"1641"	"11967"	7	2634	18902	2828	15846	45	72	18	9	"OK"	"null"	"8/17"	"2/12"	5462	34748
"emqtt"	"1548860774162"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"hbmqtt"	"2317"	"19019"	1	2317	19019	0	0	40	3	18	9	"OK"	"null"	"18/17"	"5/12"	2317	19019
"emqtt"	"1548860775348"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"hbmqtt"	"null"	"null"	7	1313	8532	2828	15846	49	76	18	9	"OK"	"null"	"null"	"null"	4141	24378
"emqtt"	"1548860775374"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"mosquitto"	"null"	"null"	4	2279	13183	3372	22465	53	94	18	9	"OK"	"null"	"null"	"null"	5651	35648
"emqtt"	"1548860776170"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"mosquitto"	"1848"	"20685"	5	2556	26857	322	1804	47	30	18	9	"OK"	"null"	"13/18"	"5/14"	2878	28661
"emqtt"	"1548860777832"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"mosquitto"	"2283"	"26873"	1	2283	26873	0	0	66	4	18	9	"OK"	"null"	"18/18"	"5/14"	2283	26873
"emqtt"	"1548860778254"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"mosquitto"	"null"	"null"	5	1469	13122	322	1804	106	50	18	9	"OK"	"null"	"null"	"null"	1791	14926
"emqtt"	"1548860780053"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"VerneMQ"	"null"	"null"	4	2279	13183	3372	22465	51	101	18	9	"OK"	"null"	"null"	"null"	5651	35648
"emqtt"	"1548860780566"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"VerneMQ"	"1746"	"18466"	5	2455	24655	322	1804	74	41	18	9	"OK"	"null"	"13/17"	"5/14"	2777	26459
"emqtt"	"1548860781276"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"VerneMQ"	"null"	"null"	5	1469	13122	322	1804	135	53	18	9	"OK"	"null"	"null"	"null"	1791	14926
"emqtt"	"1548860781649"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"VerneMQ"	"2020"	"21875"	2	2236	24538	296	1691	69	27	18	9	"OK"	"null"	"17/17"	"6/14"	2532	26229
"hbmqtt"	"1548860783335"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"ActiveMQ"	"null"	"null"	4	2160	12535	9056	52030	28	92	17	9	"OK"	"null"	"null"	"null"	11216	64565
"hbmqtt"	"1548860784514"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"ActiveMQ"	"1848"	"21174"	7	2788	26993	8345	46868	56	113	17	9	"OK"	"null"	"3/18"	"1/15"	11133	73861
"hbmqtt"	"1548860785436"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"ActiveMQ"	"2052"	"23116"	7	2964	28827	8345	46868	56	106	17	9	"OK"	"null"	"4/18"	"1/15"	11309	75695
"hbmqtt"	"1548860786408"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"ActiveMQ"	"null"	"null"	7	1056	6244	8345	46868	30	124	17	9	"OK"	"null"	"null"	"null"	9401	53112
"hbmqtt"	"1548860787308"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"emqtt"	"null"	"null"	4	2160	12535	9056	52030	30	98	17	9	"OK"	"null"	"null"	"null"	11216	64565
"hbmqtt"	"1548860788314"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"emqtt"	"1848"	"21174"	7	2788	26993	8345	46868	48	89	17	9	"OK"	"null"	"3/18"	"1/15"	11133	73861
"hbmqtt"	"1548860789314"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"emqtt"	"2052"	"23116"	7	2964	28827	8345	46868	40	81	17	9	"OK"	"null"	"4/18"	"1/15"	11309	75695
"hbmqtt"	"1548860790314"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"emqtt"	"null"	"null"	7	1056	6244	8345	46868	29	125	17	9	"OK"	"null"	"null"	"null"	9401	53112
"hbmqtt"	"1548860791321"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"mosquitto"	"null"	"null"	4	2160	12073	9056	52030	37	121	17	9	"OK"	"null"	"null"	"null"	11216	64103
"hbmqtt"	"1548860792315"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"mosquitto"	"1848"	"20685"	7	2788	26504	8345	46868	46	99	17	9	"OK"	"null"	"3/18"	"1/14"	11133	73372
"hbmqtt"	"1548860793317"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"mosquitto"	"2052"	"22573"	7	2964	28284	8345	46868	53	82	17	9	"OK"	"null"	"4/18"	"1/14"	11309	75152
"hbmqtt"	"1548860794320"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"mosquitto"	"null"	"null"	7	1055	6229	8345	46868	28	101	17	9	"OK"	"null"	"null"	"null"	9400	53097
"hbmqtt"	"1548860795321"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"VerneMQ"	"null"	"null"	4	2160	12073	9056	52030	32	97	17	9	"OK"	"null"	"null"	"null"	11216	64103
"hbmqtt"	"1548860796325"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"VerneMQ"	"1746"	"18466"	7	2686	24285	8345	46868	55	101	17	9	"OK"	"null"	"3/17"	"1/14"	11031	71153
"hbmqtt"	"1548860797365"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"VerneMQ"	"1950"	"20354"	7	2862	26065	8345	46868	59	121	17	9	"OK"	"null"	"4/17"	"1/14"	11207	72933
"hbmqtt"	"1548860798336"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"VerneMQ"	"null"	"null"	7	1055	6229	8345	46868	27	126	17	9	"OK"	"null"	"null"	"null"	9400	53097
"mosquitto"	"1548860799328"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"ActiveMQ"	"null"	"null"	1	1848	10464	0	0	28	2	18	9	"OK"	"null"	"null"	"null"	1848	10464
"mosquitto"	"1548860800336"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"ActiveMQ"	"1848"	"21174"	1	1848	21174	0	0	44	3	18	9	"OK"	"null"	"18/18"	"5/15"	1848	21174
"mosquitto"	"1548860801333"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"ActiveMQ"	"1848"	"21174"	1	1848	21174	0	0	38	3	18	9	"OK"	"null"	"18/18"	"5/15"	1848	21174
"mosquitto"	"1548860802335"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"ActiveMQ"	"null"	"null"	1	899	10597	0	0	123	3	18	9	"OK"	"null"	"null"	"null"	899	10597
"mosquitto"	"1548860803343"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"emqtt"	"null"	"null"	1	1848	10464	0	0	35	4	18	9	"OK"	"null"	"null"	"null"	1848	10464
"mosquitto"	"1548860804344"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"emqtt"	"1848"	"21174"	1	1848	21174	0	0	39	2	18	9	"OK"	"null"	"18/18"	"5/15"	1848	21174
"mosquitto"	"1548860805345"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"emqtt"	"1848"	"21174"	1	1848	21174	0	0	40	2	18	9	"OK"	"null"	"18/18"	"5/15"	1848	21174
"mosquitto"	"1548860806340"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"emqtt"	"null"	"null"	1	899	10597	0	0	130	4	18	9	"OK"	"null"	"null"	"null"	899	10597
"mosquitto"	"1548860807347"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"hbmqtt"	"null"	"null"	3	2034	11236	2163	13870	45	86	18	9	"OK"	"null"	"null"	"null"	4197	25106
"mosquitto"	"1548860808362"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"hbmqtt"	"1641"	"11967"	6	2485	17976	3209	18925	37	69	18	9	"OK"	"null"	"8/17"	"2/12"	5694	36901
"mosquitto"	"1548860809488"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"hbmqtt"	"2027"	"16192"	1	2027	16192	0	0	43	3	18	9	"OK"	"null"	"18/17"	"5/12"	2027	16192
"mosquitto"	"1548860810573"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"hbmqtt"	"null"	"null"	6	1163	7599	3209	18925	41	86	18	9	"OK"	"null"	"null"	"null"	4372	26524
"mosquitto"	"1548860811377"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"VerneMQ"	"null"	"null"	1	1848	9975	0	0	29	7	18	9	"OK"	"null"	"null"	"null"	1848	9975
"mosquitto"	"1548860812574"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"VerneMQ"	"1746"	"18466"	1	1787	18886	0	0	81	2	18	9	"OK"	"null"	"17/17"	"5/14"	1787	18886
"mosquitto"	"1548860813406"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"VerneMQ"	"1848"	"19461"	1	1848	19461	0	0	41	3	18	9	"OK"	"null"	"18/17"	"5/14"	1848	19461
"mosquitto"	"1548860814362"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"VerneMQ"	"null"	"null"	1	864	9313	0	0	127	4	18	9	"OK"	"null"	"null"	"null"	864	9313
"VerneMQ"	"1548860815382"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"ActiveMQ"	"null"	"null"	2	1883	10417	865	5018	31	42	17	9	"OK"	"null"	"null"	"null"	2748	15435
"VerneMQ"	"1548860816365"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"ActiveMQ"	"1848"	"21174"	3	2312	25051	636	3363	50	31	17	9	"OK"	"null"	"12/18"	"4/15"	2948	28414
"VerneMQ"	"1548860817362"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"ActiveMQ"	"1993"	"22850"	2	2320	25539	23	87	49	19	17	9	"OK"	"null"	"13/18"	"5/15"	2343	25626
"VerneMQ"	"1548860818367"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"ActiveMQ"	"null"	"null"	3	989	8746	636	3363	75	33	17	9	"OK"	"null"	"null"	"null"	1625	12109
"VerneMQ"	"1548860819369"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"emqtt"	"null"	"null"	2	1883	10417	865	5018	29	46	17	9	"OK"	"null"	"null"	"null"	2748	15435
"VerneMQ"	"1548860820373"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"emqtt"	"1848"	"21174"	3	2312	25051	636	3363	55	34	17	9	"OK"	"null"	"12/18"	"4/15"	2948	28414
"VerneMQ"	"1548860822020"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"emqtt"	"1993"	"22850"	2	2320	25539	23	87	50	19	17	9	"OK"	"null"	"13/18"	"5/15"	2343	25626
"VerneMQ"	"1548860823034"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"emqtt"	"null"	"null"	3	989	8746	636	3363	79	55	17	9	"OK"	"null"	"null"	"null"	1625	12109
"VerneMQ"	"1548860823433"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"hbmqtt"	"null"	"null"	4	2058	11117	2163	13870	46	86	17	9	"OK"	"null"	"null"	"null"	4221	24987
"VerneMQ"	"1548860826462"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"hbmqtt"	"1641"	"11967"	6	2424	17450	3106	19063	39	67	17	9	"OK"	"null"	"8/17"	"2/12"	5530	36513
"VerneMQ"	"1548860827661"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"hbmqtt"	"2052"	"15603"	1	2052	15603	0	0	45	3	17	9	"OK"	"null"	"17/17"	"5/12"	2052	15603
"VerneMQ"	"1548860828745"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"hbmqtt"	"null"	"null"	6	1102	7073	3106	19063	42	83	17	9	"OK"	"null"	"null"	"null"	4208	26136
"VerneMQ"	"1548860830518"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"Adp"	"mosquitto"	"null"	"null"	2	1883	9955	865	5018	34	40	17	9	"OK"	"null"	"null"	"null"	2748	14973
"VerneMQ"	"1548860830831"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M"	"mosquitto"	"1848"	"20685"	3	2302	24409	636	3363	51	33	17	9	"OK"	"null"	"12/18"	"4/14"	2938	27772
"VerneMQ"	"1548860831748"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"DL*M+"	"mosquitto"	"1993"	"22361"	2	2312	24932	23	87	56	28	17	9	"OK"	"null"	"13/18"	"5/14"	2335	25019
"VerneMQ"	"1548860832344"	"Y"	"CloseFirst"	"RivestSchapire"	"WpMethodHypEQOracle"	"∂L*M"	"mosquitto"	"null"	"null"	3	960	8199	636	3363	75	49	17	9	"OK"	"null"	"null"	"null"	1596	11562
