"SUL"	"Reuse"	"Method"	"EqO"	"MQs"	"EQs"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"cli_101h"	"cli_102"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_101h"	"cli_110-pre1"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_101h"	"cli_110-pre1"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_102"	"cli_098j"	"WpMethodHypEQOracle"	"DL*M"	776	0	12	8	7	4
"cli_102"	"cli_098j"	"WpMethodHypEQOracle"	"DL*M+"	776	0	12	8	7	4
"cli_102"	"cli_098l"	"WpMethodHypEQOracle"	"DL*M"	776	0	12	8	7	4
"cli_102"	"cli_098l"	"WpMethodHypEQOracle"	"DL*M+"	776	0	12	8	7	4
"cli_102"	"cli_098m"	"WpMethodHypEQOracle"	"DL*M"	776	0	12	8	7	4
"cli_102"	"cli_098m"	"WpMethodHypEQOracle"	"DL*M+"	776	0	12	8	7	4
"cli_102"	"cli_098za"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_102"	"cli_098za"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_102"	"cli_100m"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_102"	"cli_100m"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_102"	"cli_101"	"WpMethodHypEQOracle"	"DL*M"	776	0	12	8	7	4
"cli_102"	"cli_101"	"WpMethodHypEQOracle"	"DL*M+"	776	0	12	8	7	4
"cli_102"	"cli_101h"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_102"	"cli_101h"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_102"	"cli_110-pre1"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_102"	"cli_110-pre1"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_110-pre1"	"cli_098j"	"WpMethodHypEQOracle"	"DL*M"	776	0	12	8	7	4
"cli_110-pre1"	"cli_098j"	"WpMethodHypEQOracle"	"DL*M+"	776	0	12	8	7	4
"cli_110-pre1"	"cli_098l"	"WpMethodHypEQOracle"	"DL*M"	776	0	12	8	7	4
"cli_110-pre1"	"cli_098l"	"WpMethodHypEQOracle"	"DL*M+"	776	0	12	8	7	4
"cli_110-pre1"	"cli_098m"	"WpMethodHypEQOracle"	"DL*M"	776	0	12	8	7	4
"cli_110-pre1"	"cli_098m"	"WpMethodHypEQOracle"	"DL*M+"	776	0	12	8	7	4
"cli_110-pre1"	"cli_098za"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_110-pre1"	"cli_098za"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_110-pre1"	"cli_100m"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_110-pre1"	"cli_100m"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_110-pre1"	"cli_101"	"WpMethodHypEQOracle"	"DL*M"	776	0	12	8	7	4
"cli_110-pre1"	"cli_101"	"WpMethodHypEQOracle"	"DL*M+"	776	0	12	8	7	4
"cli_110-pre1"	"cli_101h"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_110-pre1"	"cli_101h"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
"cli_110-pre1"	"cli_102"	"WpMethodHypEQOracle"	"DL*M"	456	0	7	8	7	4
"cli_110-pre1"	"cli_102"	"WpMethodHypEQOracle"	"DL*M+"	456	0	7	8	7	4
